,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Date,DateTime
0,00:00:00,79,75,89,3,6, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 00:00:00
1,00:30:00,77,75,94,1,6, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 00:30:00
2,01:00:00,77,75,94,1,6, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 01:00:00
3,01:30:00,77,75,94,1,5, 0 mph,29.85, 0.0 in,2022-11-05,2022-11-05 01:30:00
4,02:00:00,75,75,100,1,6, 0 mph,29.85, 0.0 in,2022-11-05,2022-11-05 02:00:00
5,02:30:00,75,75,100,2,5, 0 mph,29.85, 0.0 in,2022-11-05,2022-11-05 02:30:00
6,03:00:00,75,75,100,1,5, 0 mph,29.82, 0.0 in,2022-11-05,2022-11-05 03:00:00
7,03:30:00,75,75,100,14,2, 0 mph,29.82, 0.0 in,2022-11-05,2022-11-05 03:30:00
8,04:00:00,75,75,100,0,0, 0 mph,29.82, 0.0 in,2022-11-05,2022-11-05 04:00:00
9,04:30:00,75,75,100,5,2, 0 mph,29.82, 0.0 in,2022-11-05,2022-11-05 04:30:00
10,05:00:00,75,75,100,0,0, 0 mph,29.85, 0.0 in,2022-11-05,2022-11-05 05:00:00
11,05:30:00,75,75,100,14,1, 0 mph,29.85, 0.0 in,2022-11-05,2022-11-05 05:30:00
12,06:00:00,75,75,100,14,1, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 06:00:00
13,06:30:00,75,75,100,14,1, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 06:30:00
14,07:00:00,77,75,94,14,1, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 07:00:00
15,07:30:00,79,77,94,14,1, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 07:30:00
16,08:00:00,81,79,94,14,1, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 08:00:00
17,08:30:00,81,77,89,14,2, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 08:30:00
18,09:00:00,82,79,89,14,1, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 09:00:00
19,09:30:00,86,79,79,14,3, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 09:30:00
20,10:00:00,86,75,70,1,5, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 10:00:00
21,10:30:00,86,77,74,3,5, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 10:30:00
22,11:00:00,88,75,66,10,6, 0 mph,29.91, 0.0 in,2022-11-05,2022-11-05 11:00:00
23,11:30:00,88,73,62,1,8, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 11:30:00
24,12:00:00,90,75,62,1,10, 0 mph,29.88, 0.0 in,2022-11-05,2022-11-05 12:00:00
25,00:00:00,79,75,89,10,8, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 00:00:00
26,00:30:00,79,75,89,3,8, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 00:30:00
27,01:00:00,79,75,89,3,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 01:00:00
28,01:30:00,79,75,89,1,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 01:30:00
29,02:00:00,79,75,89,1,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 02:00:00
30,02:30:00,79,75,89,3,6, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 02:30:00
31,03:00:00,79,75,89,1,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 03:00:00
32,03:30:00,79,75,89,3,6, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 03:30:00
33,04:00:00,79,75,89,3,6, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 04:00:00
34,04:30:00,79,73,83,3,7, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 04:30:00
35,05:00:00,77,73,89,1,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 05:00:00
36,05:30:00,77,75,94,14,3, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 05:30:00
37,06:00:00,77,75,94,1,3, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 06:00:00
38,06:30:00,77,75,94,1,3, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 06:30:00
39,07:00:00,79,75,89,14,2, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 07:00:00
40,07:30:00,79,73,83,14,3, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 07:30:00
41,08:00:00,79,73,83,3,6, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 08:00:00
42,08:30:00,81,73,79,14,3, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 08:30:00
43,09:00:00,81,73,79,14,3, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 09:00:00
44,09:30:00,81,73,79,0,0, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 09:30:00
45,10:00:00,81,73,79,15,1, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 10:00:00
46,10:30:00,82,73,74,14,3, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 10:30:00
47,11:00:00,82,75,79,14,1, 0 mph,29.85, 0.0 in,2022-11-03,2022-11-03 11:00:00
48,11:30:00,84,75,74,14,2, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 11:30:00
49,12:00:00,84,75,74,10,7, 0 mph,29.82, 0.0 in,2022-11-03,2022-11-03 12:00:00
50,12:30:00,84,75,74,11,5, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 12:30:00
51,13:00:00,84,77,79,3,6, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 13:00:00
52,13:30:00,82,75,79,1,6, 0 mph,29.79, 0.0 in,2022-11-03,2022-11-03 13:30:00
53,14:00:00,81,75,84,14,3, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 14:00:00
54,14:30:00,79,77,94,15,5, 0 mph,29.76, 0.0 in,2022-11-03,2022-11-03 14:30:00
