,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,75.0,70.0,83, NE,3,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 00:00:00
1,12:30 AM,75.0,66.0,73, N,5,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 00:30:00
2,1:00 AM,73.0,68.0,83, VAR,2,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 01:00:00
3,1:30 AM,73.0,66.0,78, NNE,5,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 01:30:00
4,2:00 AM,73.0,66.0,78, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 02:00:00
5,2:30 AM,73.0,66.0,78, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 02:30:00
6,3:00 AM,72.0,66.0,83, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 03:00:00
7,3:30 AM,73.0,66.0,78, NE,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 03:30:00
8,4:00 AM,72.0,66.0,83, NE,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 04:00:00
9,4:30 AM,72.0,66.0,83, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 04:30:00
10,5:00 AM,72.0,66.0,83, CALM,0,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 05:00:00
11,5:30 AM,72.0,64.0,78, VAR,2,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 05:30:00
12,6:00 AM,72.0,66.0,83, NE,3,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 06:00:00
13,6:30 AM,72.0,66.0,83, CALM,0,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 06:30:00
14,7:00 AM,73.0,66.0,78, VAR,1,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 07:00:00
15,7:30 AM,73.0,66.0,78, VAR,3,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 07:30:00
16,8:00 AM,75.0,64.0,69, VAR,3,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 08:00:00
17,8:30 AM,77.0,66.0,69, VAR,3,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 08:30:00
18,9:00 AM,79.0,66.0,65, NNE,5,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 09:00:00
19,9:30 AM,82.0,64.0,54, VAR,3,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 09:30:00
20,10:00 AM,84.0,64.0,51, E,5,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 10:00:00
21,10:30 AM,84.0,64.0,51, VAR,3,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 10:30:00
22,11:00 AM,86.0,63.0,45, VAR,3,0.0,29.88,0.0, Fair,2021-12-02,2021-12-02 11:00:00
23,11:30 AM,86.0,63.0,45, VAR,2,0.0,29.85,0.0, Fair,2021-12-02,2021-12-02 11:30:00
24,12:00 PM,86.0,64.0,48, VAR,3,0.0,29.85,0.0, Fair,2021-12-02,2021-12-02 12:00:00
25,12:30 PM,88.0,66.0,49, VAR,2,0.0,29.82,0.0, Fair,2021-12-02,2021-12-02 12:30:00
26,1:00 PM,88.0,64.0,46, N,6,0.0,29.82,0.0, Fair,2021-12-02,2021-12-02 13:00:00
27,1:30 PM,86.0,64.0,48, NNW,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 13:30:00
28,2:00 PM,86.0,63.0,45, NNE,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 14:00:00
29,2:30 PM,88.0,63.0,43, VAR,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 14:30:00
30,3:00 PM,86.0,63.0,45, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 15:00:00
31,3:30 PM,86.0,63.0,45, W,6,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 15:30:00
32,4:00 PM,86.0,64.0,48, WNW,5,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 16:00:00
33,4:30 PM,84.0,64.0,51, VAR,3,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 16:30:00
34,5:00 PM,84.0,64.0,51, NNW,2,0.0,29.79,0.0, Partly Cloudy,2021-12-02,2021-12-02 17:00:00
35,5:30 PM,82.0,66.0,58, WNW,3,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 17:30:00
36,6:00 PM,81.0,68.0,65, W,3,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 18:00:00
37,6:30 PM,81.0,68.0,65, W,3,0.0,29.82,0.0, Partly Cloudy,2021-12-02,2021-12-02 18:30:00
38,7:00 PM,81.0,70.0,70, W,3,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 19:00:00
39,7:30 PM,81.0,68.0,65, WNW,2,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 19:30:00
40,8:00 PM,81.0,68.0,65, NW,5,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 20:00:00
41,8:30 PM,81.0,70.0,70, NNW,5,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 20:30:00
42,9:00 PM,79.0,68.0,69, N,6,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 21:00:00
43,9:30 PM,79.0,66.0,65, NNE,7,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 21:30:00
44,10:00 PM,79.0,66.0,65, NE,8,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 22:00:00
45,10:30 PM,77.0,66.0,69, NNE,6,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 22:30:00
46,11:00 PM,77.0,66.0,69, N,7,0.0,29.88,0.0, Partly Cloudy,2021-12-02,2021-12-02 23:00:00
47,11:30 PM,75.0,66.0,73, NNE,5,0.0,29.85,0.0, Partly Cloudy,2021-12-02,2021-12-02 23:30:00
