,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,79.0,72.0,78, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 00:00:00
1,12:30 AM,77.0,72.0,83, VAR,1,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 00:30:00
2,1:00 AM,77.0,72.0,83, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 01:00:00
3,1:30 AM,77.0,72.0,83, VAR,2,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 01:30:00
4,2:00 AM,77.0,72.0,83, VAR,2,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 02:00:00
5,2:30 AM,77.0,72.0,83, VAR,1,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 02:30:00
6,3:00 AM,77.0,72.0,83, CALM,0,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 03:00:00
7,3:30 AM,77.0,72.0,83, CALM,0,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 03:30:00
8,4:00 AM,77.0,73.0,89, VAR,1,0.0,29.76,0.0, Partly Cloudy,2021-01-26,2021-01-26 04:00:00
9,4:30 AM,77.0,73.0,89, VAR,2,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 04:30:00
10,5:00 AM,77.0,73.0,89, WNW,2,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 05:00:00
11,5:30 AM,77.0,72.0,83, CALM,0,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 05:30:00
12,6:00 AM,77.0,73.0,89, NE,3,0.0,29.79,0.0, Partly Cloudy,2021-01-26,2021-01-26 06:00:00
13,6:30 AM,77.0,73.0,89, NNE,3,0.0,29.79,0.0, Fog,2021-01-26,2021-01-26 06:30:00
14,7:00 AM,77.0,73.0,89, VAR,1,0.0,29.82,0.0, Fog,2021-01-26,2021-01-26 07:00:00
15,7:30 AM,77.0,73.0,89, VAR,2,0.0,29.82,0.0, Fog,2021-01-26,2021-01-26 07:30:00
16,8:00 AM,77.0,73.0,89, N,3,0.0,29.82,0.0, Fog,2021-01-26,2021-01-26 08:00:00
17,8:30 AM,81.0,73.0,79, VAR,2,0.0,29.85,0.0, Fog,2021-01-26,2021-01-26 08:30:00
18,9:00 AM,82.0,73.0,74, N,5,0.0,29.85,0.0, Partly Cloudy,2021-01-26,2021-01-26 09:00:00
