,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Date
0,12:00 AM, 79 °F, 75 °F, 89 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
1,12:30 AM, 79 °F, 75 °F, 89 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
2,1:00 AM, 79 °F, 75 °F, 89 %,  S, 5 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
3,1:30 AM, 79 °F, 75 °F, 89 %,  S, 5 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
4,2:00 AM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
5,2:30 AM, 81 °F, 75 °F, 84 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
6,3:00 AM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
7,3:30 AM, 81 °F, 75 °F, 84 %,  S, 5 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
8,4:00 AM, 79 °F, 75 °F, 89 %,  SSE, 5 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
9,4:30 AM, 79 °F, 75 °F, 89 %,  SSE, 5 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
10,5:00 AM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
11,5:30 AM, 79 °F, 75 °F, 89 %,  S, 6 mph, 0 mph, 29.70 in, 0.0 in,2022-08-26
12,6:00 AM, 79 °F, 75 °F, 89 %,  SSW, 6 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
13,6:30 AM, 79 °F, 75 °F, 89 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
14,7:00 AM, 81 °F, 75 °F, 84 %,  SSW, 5 mph, 0 mph, 29.73 in, 0.0 in,2022-08-26
15,7:30 AM, 82 °F, 75 °F, 79 %,  SSW, 7 mph, 0 mph, 29.76 in, 0.0 in,2022-08-26
