Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 75 °F, 89 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
12:30 AM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 77 °F, 75 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
1:30 AM, 79 °F, 77 °F, 94 %,  ESE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 AM, 79 °F, 77 °F, 94 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 79 °F, 77 °F, 94 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 AM, 79 °F, 77 °F, 94 %,  CALM, 0 mph, 0 mph, 29.70 in, 0.0 in, 
3:30 AM, 79 °F, 77 °F, 94 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 AM, 79 °F, 77 °F, 94 %,  NW, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 79 °F, 77 °F, 94 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 AM, 77 °F, 75 °F, 94 %,  NW, 1 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  NW, 2 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 AM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
7:30 AM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 AM, 82 °F, 79 °F, 89 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 AM, 84 °F, 77 °F, 79 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
9:00 AM, 86 °F, 77 °F, 74 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 AM, 88 °F, 75 °F, 66 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
10:00 AM, 88 °F, 75 °F, 66 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
10:30 AM, 88 °F, 77 °F, 70 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 AM, 90 °F, 77 °F, 66 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 AM, 90 °F, 75 °F, 62 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, 
12:00 PM, 91 °F, 77 °F, 63 %,  NW, 1 mph, 0 mph, 29.70 in, 0.0 in, 
12:30 PM, 91 °F, 77 °F, 63 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, 
1:00 PM, 91 °F, 77 °F, 63 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
1:30 PM, 91 °F, 77 °F, 63 %,  VAR, 2 mph, 0 mph, 29.64 in, 0.0 in, 
2:00 PM, 93 °F, 77 °F, 59 %,  VAR, 1 mph, 0 mph, 29.64 in, 0.0 in, 
2:30 PM, 93 °F, 75 °F, 56 %,  NNE, 5 mph, 0 mph, 29.61 in, 0.0 in, 
3:00 PM, 91 °F, 73 °F, 55 %,  N, 5 mph, 0 mph, 29.61 in, 0.0 in, 
3:30 PM, 90 °F, 75 °F, 62 %,  VAR, 2 mph, 0 mph, 29.61 in, 0.0 in, Light Rain, 
4:00 PM, 81 °F, 77 °F, 89 %,  S, 8 mph, 0 mph, 29.58 in, 0.0 in, 
4:30 PM, 77 °F, 75 °F, 94 %,  W, 8 mph, 0 mph, 29.64 in, 0.0 in, Light Rain, 
5:00 PM, 79 °F, 77 °F, 94 %,  S, 5 mph, 0 mph, 29.64 in, 0.0 in, Thunder in, 
5:30 PM, 81 °F, 75 °F, 84 %,  S, 5 mph, 0 mph, 29.64 in, 0.0 in, 
6:00 PM, 81 °F, 75 °F, 84 %,  SSE, 6 mph, 0 mph, 29.64 in, 0.0 in, Thunder in, 
6:30 PM, 81 °F, 73 °F, 79 %,  E, 5 mph, 0 mph, 29.67 in, 0.0 in, 
7:00 PM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 PM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
8:00 PM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 PM, 81 °F, 75 °F, 84 %,  SSE, 3 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 PM, 81 °F, 75 °F, 84 %,  S, 5 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 PM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 PM, 79 °F, 75 °F, 89 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
11:00 PM, 79 °F, 75 °F, 89 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 PM, 79 °F, 75 °F, 89 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
