Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 81 °F, 79 °F, 94 %, VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy, 
12:30 AM, 79 °F, 77 °F, 94 %, S, 6 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy, 
1:00 AM, 79 °F, 77 °F, 94 %, SE, 7 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
1:30 AM, 79 °F, 77 °F, 94 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
2:00 AM, 79 °F, 77 °F, 94 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
2:30 AM, 79 °F, 77 °F, 94 %, S, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
3:00 AM, 79 °F, 77 °F, 94 %, SSE, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
3:30 AM, 77 °F, 77 °F, 100 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
4:00 AM, 77 °F, 77 °F, 100 %, E, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
4:30 AM, 77 °F, 77 °F, 100 %, E, 2 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
5:00 AM, 77 °F, 77 °F, 100 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
5:30 AM, 77 °F, 77 °F, 100 %, NE, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
6:00 AM, 77 °F, 77 °F, 100 %, NNE, 5 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy, 
6:30 AM, 77 °F, 77 °F, 100 %, VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, Fog, 
7:00 AM, 77 °F, 77 °F, 100 %, VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, Fog, 
7:30 AM, 81 °F, 79 °F, 94 %, VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy, 
8:00 AM, 81 °F, 79 °F, 94 %, NE, 5 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy, 
8:30 AM, 82 °F, 79 °F, 89 %, E, 2 mph, 0 mph, 29.88 in, 0.0 in, Partly Cloudy, 
9:00 AM, 84 °F, 79 °F, 84 %, ENE, 5 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy, 
9:30 AM, 86 °F, 79 °F, 79 %, E, 6 mph, 0 mph, 29.88 in, 0.0 in, Partly Cloudy, 
10:00 AM, 86 °F, 77 °F, 74 %, ENE, 5 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy, 
10:30 AM, 88 °F, 79 °F, 75 %, ENE, 6 mph, 0 mph, 29.85 in, 0.0 in, Partly Cloudy, 
11:00 AM, 88 °F, 79 °F, 75 %, NE, 5 mph, 0 mph, 29.85 in, 0.0 in, Mostly Cloudy, 
11:30 AM, 88 °F, 75 °F, 66 %, VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, Mostly Cloudy, 
12:00 PM, 90 °F, 77 °F, 66 %, VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, Mostly Cloudy, 
12:30 PM, 90 °F, 75 °F, 62 %, E, 5 mph, 0 mph, 29.76 in, 0.0 in, Mostly Cloudy, 
1:00 PM, 90 °F, 75 °F, 62 %, VAR, 6 mph, 0 mph, 29.76 in, 0.0 in, Mostly Cloudy, 
1:30 PM, 91 °F, 75 °F, 59 %, SE, 5 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy, 
2:00 PM, 88 °F, 77 °F, 70 %, SE, 15 mph, 0 mph, 29.73 in, 0.0 in, Mostly Cloudy, 
2:30 PM, 90 °F, 79 °F, 70 %, SE, 10 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy, 
3:00 PM, 86 °F, 75 °F, 70 %, SSE, 7 mph, 0 mph, 29.70 in, 0.0 in, Partly Cloudy, 
3:30 PM, 86 °F, 77 °F, 74 %, SSW, 9 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy, 
4:00 PM, 86 °F, 79 °F, 79 %, S, 8 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy, 
4:30 PM, 0 °F, 0 °F, 0 %, S, 8 mph, 0 mph, 29.73 in, 0.0 in, Showers in the Vicinity, 
5:00 PM, 81 °F, 79 °F, 94 %, E, 12 mph, 0 mph, 29.73 in, 0.0 in, Rain Shower, 
5:30 PM, 81 °F, 79 °F, 94 %, E, 7 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy, 
6:00 PM, 82 °F, 77 °F, 84 %, VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, Partly Cloudy, 
7:00 PM, 82 °F, 77 °F, 84 %, SE, 6 mph, 0 mph, 29.76 in, 0.0 in, Partly Cloudy, 
7:30 PM, 82 °F, 77 °F, 84 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
8:00 PM, 81 °F, 79 °F, 94 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
8:30 PM, 81 °F, 79 °F, 94 %, VAR, 6 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
9:00 PM, 81 °F, 77 °F, 89 %, SE, 8 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
9:30 PM, 81 °F, 77 °F, 89 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
10:00 PM, 79 °F, 77 °F, 94 %, VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
10:30 PM, 79 °F, 77 °F, 94 %, VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, Partly Cloudy, 
11:00 PM, 81 °F, 77 °F, 89 %, VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, Partly Cloudy, 
