,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,77.0,70.0,78.0, VAR,1.0,0.0,29.97, 0.0 in, Partly Cloudy,2020-01-09,2020-01-09 00:00:00
1,12:30 AM,77.0,70.0,78.0, VAR,1.0,0.0,29.97, 0.0 in, Partly Cloudy,2020-01-09,2020-01-09 00:30:00
2,1:00 AM,73.0,72.0,94.0, SSW,2.0,0.0,29.97, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 01:00:00
3,1:30 AM,73.0,72.0,94.0, WSW,3.0,0.0,29.97, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 01:30:00
4,2:00 AM,73.0,72.0,94.0, VAR,1.0,0.0,29.97, 0.0 in, Light Rain,2020-01-09,2020-01-09 02:00:00
5,2:30 AM,73.0,72.0,94.0, VAR,1.0,0.0,29.97, 0.0 in, Light Rain,2020-01-09,2020-01-09 02:30:00
6,3:00 AM,73.0,72.0,94.0, CALM,0.0,0.0,29.94, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 03:00:00
7,3:30 AM,73.0,72.0,94.0, CALM,0.0,0.0,29.94, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 03:30:00
8,4:00 AM,73.0,72.0,94.0, NNW,1.0,0.0,29.94, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 04:00:00
9,4:30 AM,73.0,72.0,94.0, CALM,0.0,0.0,29.94, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 04:30:00
10,5:00 AM,73.0,72.0,94.0, SW,3.0,0.0,29.97, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 05:00:00
11,5:30 AM,72.0,72.0,100.0, SW,3.0,0.0,29.97, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 05:30:00
12,6:00 AM,72.0,72.0,100.0, SSW,3.0,0.0,29.97, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 06:00:00
13,6:30 AM,72.0,72.0,100.0, SW,5.0,0.0,29.97, 0.0 in, Fog,2020-01-09,2020-01-09 06:30:00
14,7:00 AM,72.0,70.0,94.0, SW,1.0,0.0,30.0, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 07:00:00
15,7:30 AM,73.0,72.0,94.0, SW,5.0,0.0,30.0, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 07:30:00
16,8:00 AM,73.0,70.0,88.0, WSW,2.0,0.0,30.0, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 08:00:00
17,8:30 AM,75.0,72.0,89.0, VAR,1.0,0.0,30.0, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 08:30:00
18,9:00 AM,81.0,72.0,74.0, SW,3.0,0.0,30.0, 0.0 in, Mostly Cloudy,2020-01-09,2020-01-09 09:00:00
19,9:30 AM,81.0,70.0,70.0, VAR,2.0,0.0,30.03, 0.0 in, Partly Cloudy,2020-01-09,2020-01-09 09:30:00
