,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,79.0,77.0,94.0, SW,6.0,0.0,29.7, 0.0 in, Light Rain,2022-05-28,2022-05-28 00:00:00
1,12:30 AM,77.0,75.0,94.0, SW,8.0,0.0,29.7, 0.0 in, Light Rain,2022-05-28,2022-05-28 00:30:00
2,1:00 AM,77.0,75.0,94.0, WSW,6.0,0.0,29.67, 0.0 in, Light Rain,2022-05-28,2022-05-28 01:00:00
3,1:30 AM,77.0,77.0,100.0, WSW,6.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 01:30:00
4,2:00 AM,77.0,75.0,94.0, W,5.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 02:00:00
5,2:30 AM,77.0,75.0,94.0, VAR,2.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 02:30:00
6,3:00 AM,77.0,75.0,94.0, VAR,3.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 03:00:00
7,3:30 AM,77.0,75.0,94.0, VAR,3.0,0.0,29.64, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 03:30:00
8,4:00 AM,77.0,75.0,94.0, N,9.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 04:00:00
9,4:30 AM,75.0,73.0,94.0, N,6.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 04:30:00
10,5:00 AM,75.0,73.0,94.0, N,5.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 05:00:00
11,5:30 AM,75.0,73.0,94.0, VAR,2.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 05:30:00
12,6:00 AM,75.0,73.0,94.0, NNW,2.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 06:00:00
13,6:30 AM,75.0,73.0,94.0, VAR,1.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 06:30:00
14,7:00 AM,77.0,75.0,94.0, VAR,1.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 07:00:00
15,7:30 AM,79.0,75.0,89.0, VAR,1.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 07:30:00
16,8:00 AM,79.0,75.0,89.0, W,5.0,0.0,29.7, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 08:00:00
17,8:30 AM,81.0,75.0,84.0, W,7.0,0.0,29.7, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 08:30:00
18,9:00 AM,82.0,77.0,84.0, WSW,9.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 09:00:00
19,9:30 AM,82.0,77.0,84.0, W,7.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 09:30:00
20,10:00 AM,84.0,75.0,74.0, W,9.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 10:00:00
21,10:30 AM,86.0,73.0,66.0, W,12.0,0.0,29.7, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 10:30:00
22,11:00 AM,88.0,75.0,66.0, WNW,12.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 11:00:00
23,11:30 AM,86.0,75.0,70.0, W,10.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 11:30:00
24,12:00 PM,90.0,75.0,62.0, WSW,14.0,0.0,29.67, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 12:00:00
25,12:30 PM,90.0,73.0,59.0, W,18.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 12:30:00
26,1:00 PM,90.0,75.0,62.0, W,17.0,0.0,29.67, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 13:00:00
27,1:30 PM,88.0,75.0,66.0, WSW,14.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 13:30:00
28,2:00 PM,90.0,73.0,59.0, W,17.0,0.0,29.61, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 14:00:00
29,2:30 PM,88.0,75.0,66.0, W,8.0,0.0,29.61, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 14:30:00
30,3:00 PM,90.0,73.0,59.0, W,17.0,0.0,29.58, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 15:00:00
31,3:30 PM,81.0,73.0,79.0, WNW,21.0,35.0,29.61, 0.0 in, Rain Shower / Windy,2022-05-28,2022-05-28 15:30:00
32,4:00 PM,77.0,73.0,89.0, W,16.0,0.0,29.61, 0.0 in, Light Rain Shower,2022-05-28,2022-05-28 16:00:00
33,4:30 PM,79.0,75.0,89.0, WNW,5.0,0.0,29.61, 0.0 in, Partly Cloudy,2022-05-28,2022-05-28 16:30:00
34,5:00 PM,79.0,77.0,94.0, W,5.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 17:00:00
35,5:30 PM,81.0,77.0,89.0, VAR,2.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 17:30:00
36,6:00 PM,81.0,77.0,89.0, VAR,2.0,0.0,29.64, 0.0 in, Mostly Cloudy,2022-05-28,2022-05-28 18:00:00
37,6:30 PM,81.0,77.0,89.0, VAR,2.0,0.0,29.67, 0.0 in, Rain Shower,2022-05-28,2022-05-28 18:30:00
38,7:00 PM,79.0,77.0,94.0, VAR,3.0,0.0,29.67, 0.0 in, Light Rain Shower,2022-05-28,2022-05-28 19:00:00
39,7:30 PM,79.0,77.0,94.0, VAR,1.0,0.0,29.7, 0.0 in, Light Rain Shower,2022-05-28,2022-05-28 19:30:00
40,8:00 PM,79.0,79.0,100.0, VAR,3.0,0.0,29.73, 0.0 in, Light Rain,2022-05-28,2022-05-28 20:00:00
41,8:30 PM,79.0,79.0,100.0, E,3.0,0.0,29.73, 0.0 in, Light Rain,2022-05-28,2022-05-28 20:30:00
42,9:00 PM,81.0,79.0,94.0, SE,2.0,0.0,29.73, 0.0 in, Light Rain,2022-05-28,2022-05-28 21:00:00
