,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,Date,DateTime
0,12:00 AM,72.0,63.0,73.0, SSE,7.0,0.0,29.95, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 00:00:00
1,12:30 AM,70.0,63.0,78.0, SSE,6.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 00:30:00
2,1:00 AM,70.0,63.0,78.0, SE,6.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 01:00:00
3,1:30 AM,70.0,63.0,78.0, SSE,5.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 01:30:00
4,2:00 AM,70.0,63.0,78.0, SSE,5.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 02:00:00
5,2:30 AM,70.0,63.0,78.0, ESE,3.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 02:30:00
6,3:00 AM,70.0,61.0,73.0, ESE,2.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 03:00:00
7,3:30 AM,70.0,61.0,73.0, ESE,3.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 03:30:00
8,4:00 AM,70.0,61.0,73.0, S,3.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 04:00:00
9,4:30 AM,70.0,61.0,73.0, SSE,3.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 04:30:00
10,5:00 AM,70.0,61.0,73.0, ESE,3.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 05:00:00
11,5:30 AM,70.0,63.0,78.0, E,5.0,0.0,29.92, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 05:30:00
12,6:00 AM,70.0,64.0,83.0, E,3.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 06:00:00
13,6:30 AM,70.0,61.0,73.0, E,6.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 06:30:00
14,7:00 AM,70.0,63.0,78.0, E,5.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 07:00:00
15,7:30 AM,70.0,63.0,78.0, ENE,3.0,0.0,29.98, 0.0 in, Fog,2019-03-13,2019-03-13 07:30:00
16,8:00 AM,70.0,61.0,73.0, E,3.0,0.0,29.98, 0.0 in, Fog,2019-03-13,2019-03-13 08:00:00
17,8:30 AM,72.0,61.0,69.0, E,5.0,0.0,29.98, 0.0 in, Fog,2019-03-13,2019-03-13 08:30:00
18,9:00 AM,72.0,61.0,69.0, E,5.0,0.0,29.98, 0.0 in, Haze,2019-03-13,2019-03-13 09:00:00
19,9:30 AM,73.0,61.0,65.0, E,6.0,0.0,29.98, 0.0 in, Haze,2019-03-13,2019-03-13 09:30:00
20,10:00 AM,73.0,61.0,65.0, ENE,6.0,0.0,29.98, 0.0 in, Haze,2019-03-13,2019-03-13 10:00:00
21,10:30 AM,73.0,63.0,69.0, ENE,6.0,0.0,29.98, 0.0 in, Haze,2019-03-13,2019-03-13 10:30:00
22,11:00 AM,75.0,63.0,65.0, E,3.0,0.0,29.95, 0.0 in, Haze,2019-03-13,2019-03-13 11:00:00
23,11:30 AM,75.0,63.0,65.0, SE,6.0,0.0,29.95, 0.0 in, Haze,2019-03-13,2019-03-13 11:30:00
24,12:00 PM,77.0,64.0,65.0, SSE,3.0,0.0,29.92, 0.0 in, Haze,2019-03-13,2019-03-13 12:00:00
25,12:30 PM,77.0,64.0,65.0, E,6.0,0.0,29.92, 0.0 in, Haze,2019-03-13,2019-03-13 12:30:00
26,1:00 PM,79.0,64.0,61.0, E,8.0,0.0,29.89, 0.0 in, Haze,2019-03-13,2019-03-13 13:00:00
27,1:30 PM,79.0,64.0,61.0, E,6.0,0.0,29.86, 0.0 in, Haze,2019-03-13,2019-03-13 13:30:00
28,2:00 PM,79.0,64.0,61.0, SE,8.0,0.0,29.86, 0.0 in, Mostly Cloudy,2019-03-13,2019-03-13 14:00:00
29,2:30 PM,79.0,64.0,61.0, ESE,10.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 14:30:00
30,3:00 PM,79.0,64.0,61.0, E,9.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 15:00:00
31,3:30 PM,77.0,64.0,65.0, E,10.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 15:30:00
32,4:00 PM,79.0,64.0,61.0, E,10.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 16:00:00
33,4:30 PM,77.0,64.0,65.0, E,12.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 16:30:00
34,5:00 PM,77.0,64.0,65.0, ESE,10.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 17:00:00
35,5:30 PM,77.0,64.0,65.0, E,9.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 17:30:00
36,6:00 PM,75.0,64.0,69.0, E,8.0,0.0,29.83, 0.0 in, Haze,2019-03-13,2019-03-13 18:00:00
37,6:30 PM,77.0,64.0,65.0, E,7.0,0.0,29.86, 0.0 in, Haze,2019-03-13,2019-03-13 18:30:00
38,7:00 PM,77.0,64.0,65.0, E,7.0,0.0,29.86, 0.0 in, Haze,2019-03-13,2019-03-13 19:00:00
39,7:30 PM,77.0,64.0,65.0, E,7.0,0.0,29.89, 0.0 in, Haze,2019-03-13,2019-03-13 19:30:00
40,8:00 PM,75.0,64.0,69.0, NE,6.0,0.0,29.89, 0.0 in, Haze,2019-03-13,2019-03-13 20:00:00
41,8:30 PM,73.0,63.0,69.0, ENE,6.0,0.0,29.92, 0.0 in, Haze,2019-03-13,2019-03-13 20:30:00
42,9:00 PM,73.0,64.0,73.0, ENE,6.0,0.0,29.92, 0.0 in, Fog,2019-03-13,2019-03-13 21:00:00
43,9:30 PM,73.0,64.0,73.0, ENE,5.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 21:30:00
44,10:00 PM,73.0,64.0,73.0, NE,6.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 22:00:00
45,10:30 PM,73.0,64.0,73.0, ENE,6.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 22:30:00
46,11:00 PM,73.0,64.0,73.0, ENE,5.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 23:00:00
47,11:30 PM,73.0,64.0,73.0, NE,5.0,0.0,29.95, 0.0 in, Fog,2019-03-13,2019-03-13 23:30:00
