Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 82 °F, 68 °F, 62 %,  E, 8 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 AM, 81 °F, 68 °F, 65 %,  E, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 81 °F, 70 °F, 70 %,  ENE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 81 °F, 68 °F, 65 %,  E, 6 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 AM, 79 °F, 68 °F, 69 %,  ENE, 5 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 79 °F, 68 °F, 69 %,  E, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 AM, 79 °F, 68 °F, 69 %,  NE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 AM, 79 °F, 70 °F, 74 %,  NE, 2 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 AM, 79 °F, 70 °F, 74 %,  NE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 79 °F, 70 °F, 74 %,  NNE, 2 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 79 °F, 70 °F, 74 %,  NNE, 1 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 AM, 79 °F, 72 °F, 78 %,  N, 1 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 AM, 79 °F, 72 °F, 78 %,  NNE, 2 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 AM, 79 °F, 72 °F, 78 %,  N, 2 mph, 0 mph, 29.76 in, 0.0 in, 
7:00 AM, 79 °F, 72 °F, 78 %,  N, 3 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 AM, 81 °F, 73 °F, 79 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 AM, 81 °F, 73 °F, 79 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
8:30 AM, 82 °F, 73 °F, 74 %,  CALM, 0 mph, 0 mph, 29.82 in, 0.0 in, 
9:00 AM, 84 °F, 72 °F, 66 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
9:30 AM, 86 °F, 70 °F, 58 %,  NE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 AM, 90 °F, 72 °F, 55 %,  ENE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 AM, 91 °F, 72 °F, 52 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 AM, 91 °F, 70 °F, 49 %,  ENE, 3 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 AM, 93 °F, 70 °F, 46 %,  SE, 2 mph, 0 mph, 29.76 in, 0.0 in, 
12:00 PM, 93 °F, 70 °F, 46 %,  ESE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
12:30 PM, 93 °F, 68 °F, 44 %,  E, 7 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 PM, 93 °F, 68 °F, 44 %,  ENE, 7 mph, 0 mph, 29.70 in, 0.0 in, 
1:30 PM, 91 °F, 68 °F, 46 %,  VAR, 9 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 91 °F, 70 °F, 49 %,  SE, 6 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 PM, 91 °F, 70 °F, 49 %,  E, 6 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 PM, 91 °F, 68 °F, 46 %,  NE, 5 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 88 °F, 72 °F, 58 %,  VAR, 7 mph, 0 mph, 29.67 in, 0.0 in, Light Rain, 
4:00 PM, 88 °F, 72 °F, 58 %,  SE, 15 mph, 0 mph, 29.70 in, 0.0 in, 
4:30 PM, 86 °F, 72 °F, 62 %,  ESE, 13 mph, 0 mph, 29.70 in, 0.0 in, 
5:00 PM, 86 °F, 73 °F, 66 %,  ESE, 10 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 PM, 86 °F, 73 °F, 66 %,  ESE, 9 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 PM, 84 °F, 73 °F, 70 %,  ESE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 PM, 84 °F, 73 °F, 70 %,  ESE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 PM, 84 °F, 73 °F, 70 %,  E, 10 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 PM, 82 °F, 73 °F, 74 %,  E, 10 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 PM, 82 °F, 72 °F, 70 %,  E, 10 mph, 0 mph, 29.79 in, 0.0 in, 
8:30 PM, 82 °F, 73 °F, 74 %,  E, 10 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 PM, 82 °F, 73 °F, 74 %,  E, 7 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 PM, 82 °F, 73 °F, 74 %,  E, 8 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 PM, 82 °F, 72 °F, 70 %,  E, 12 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 PM, 82 °F, 72 °F, 70 %,  ESE, 9 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 PM, 82 °F, 72 °F, 70 %,  E, 10 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 PM, 81 °F, 72 °F, 74 %,  ESE, 9 mph, 0 mph, 29.79 in, 0.0 in, 
