Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 70 °F, 78 %,  W, 3 mph, 0 mph, 29.94 in, 0.0 in, 
12:30 AM, 77 °F, 68 °F, 74 %,  NW, 3 mph, 0 mph, 29.91 in, 0.0 in, 
1:00 AM, 77 °F, 66 °F, 69 %,  NW, 5 mph, 0 mph, 29.91 in, 0.0 in, 
1:30 AM, 77 °F, 64 °F, 65 %,  NNW, 3 mph, 0 mph, 29.91 in, 0.0 in, 
2:00 AM, 77 °F, 64 °F, 65 %,  NW, 5 mph, 0 mph, 29.91 in, 0.0 in, 
2:30 AM, 75 °F, 64 °F, 69 %,  NW, 5 mph, 0 mph, 29.88 in, 0.0 in, 
3:00 AM, 75 °F, 64 °F, 69 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
3:30 AM, 75 °F, 66 °F, 73 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
4:00 AM, 75 °F, 66 °F, 73 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
4:30 AM, 73 °F, 66 °F, 78 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
5:00 AM, 73 °F, 66 °F, 78 %,  NW, 3 mph, 0 mph, 29.91 in, 0.0 in, 
5:30 AM, 73 °F, 66 °F, 78 %,  VAR, 2 mph, 0 mph, 29.91 in, 0.0 in, 
6:00 AM, 73 °F, 66 °F, 78 %,  VAR, 1 mph, 0 mph, 29.91 in, 0.0 in, 
6:30 AM, 73 °F, 66 °F, 78 %,  VAR, 1 mph, 0 mph, 29.94 in, 0.0 in, 
7:00 AM, 75 °F, 66 °F, 73 %,  VAR, 1 mph, 0 mph, 29.94 in, 0.0 in, 
7:30 AM, 77 °F, 68 °F, 74 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
8:00 AM, 79 °F, 66 °F, 65 %,  VAR, 3 mph, 0 mph, 29.97 in, 0.0 in, 
8:30 AM, 81 °F, 66 °F, 61 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
9:00 AM, 82 °F, 66 °F, 58 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
9:30 AM, 84 °F, 66 °F, 55 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
10:00 AM, 86 °F, 66 °F, 51 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
10:30 AM, 88 °F, 66 °F, 49 %,  ESE, 5 mph, 0 mph, 29.94 in, 0.0 in, 
11:00 AM, 90 °F, 64 °F, 43 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
11:30 AM, 91 °F, 64 °F, 41 %,  E, 6 mph, 0 mph, 29.91 in, 0.0 in, 
12:00 PM, 91 °F, 64 °F, 41 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
12:30 PM, 91 °F, 64 °F, 41 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
1:00 PM, 91 °F, 64 °F, 41 %,  S, 5 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 PM, 91 °F, 64 °F, 41 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
2:00 PM, 91 °F, 66 °F, 43 %,  SW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
2:30 PM, 91 °F, 66 °F, 43 %,  S, 5 mph, 0 mph, 29.82 in, 0.0 in, 
3:00 PM, 91 °F, 66 °F, 43 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
3:30 PM, 91 °F, 66 °F, 43 %,  SSE, 6 mph, 0 mph, 29.82 in, 0.0 in, 
4:00 PM, 90 °F, 68 °F, 49 %,  VAR, 5 mph, 0 mph, 29.85 in, 0.0 in, 
4:30 PM, 90 °F, 70 °F, 52 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
5:00 PM, 88 °F, 70 °F, 55 %,  SW, 7 mph, 0 mph, 29.85 in, 0.0 in, 
5:30 PM, 88 °F, 70 °F, 55 %,  WSW, 6 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 PM, 88 °F, 70 °F, 55 %,  S, 7 mph, 0 mph, 29.88 in, 0.0 in, 
6:30 PM, 86 °F, 70 °F, 58 %,  S, 6 mph, 0 mph, 29.88 in, 0.0 in, 
7:00 PM, 84 °F, 70 °F, 62 %,  S, 6 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 PM, 84 °F, 70 °F, 62 %,  SSE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
8:00 PM, 84 °F, 70 °F, 62 %,  S, 5 mph, 0 mph, 29.91 in, 0.0 in, 
8:30 PM, 84 °F, 70 °F, 62 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
9:00 PM, 84 °F, 70 °F, 62 %,  S, 5 mph, 0 mph, 29.94 in, 0.0 in, 
9:30 PM, 84 °F, 70 °F, 62 %,  S, 5 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 PM, 82 °F, 70 °F, 66 %,  S, 5 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 PM, 82 °F, 70 °F, 66 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
11:00 PM, 82 °F, 72 °F, 70 %,  S, 5 mph, 0 mph, 29.91 in, 0.0 in, 
11:30 PM, 81 °F, 72 °F, 74 %,  SSE, 3 mph, 0 mph, 29.91 in, 0.0 in, 
