Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 59 °F, 54 %,  NE, 9 mph, 0 mph, 29.97 in, 0.0 in, 
12:30 AM, 77 °F, 59 °F, 54 %,  NNE, 9 mph, 0 mph, 29.97 in, 0.0 in, 
1:00 AM, 75 °F, 59 °F, 57 %,  NE, 9 mph, 0 mph, 29.97 in, 0.0 in, 
1:30 AM, 75 °F, 57 °F, 53 %,  NE, 10 mph, 0 mph, 29.94 in, 0.0 in, 
2:00 AM, 75 °F, 57 °F, 53 %,  NE, 12 mph, 0 mph, 29.94 in, 0.0 in, 
2:30 AM, 73 °F, 57 °F, 57 %,  NE, 9 mph, 0 mph, 29.94 in, 0.0 in, 
3:00 AM, 73 °F, 57 °F, 57 %,  NE, 9 mph, 0 mph, 29.94 in, 0.0 in, 
3:30 AM, 73 °F, 57 °F, 57 %,  NNE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
4:00 AM, 73 °F, 57 °F, 57 %,  NNE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
4:30 AM, 73 °F, 57 °F, 57 %,  NE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
5:00 AM, 73 °F, 57 °F, 57 %,  NNE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
5:30 AM, 72 °F, 57 °F, 60 %,  N, 6 mph, 0 mph, 29.97 in, 0.0 in, 
6:00 AM, 72 °F, 57 °F, 60 %,  N, 7 mph, 0 mph, 29.97 in, 0.0 in, 
6:30 AM, 72 °F, 57 °F, 60 %,  N, 7 mph, 0 mph, 29.97 in, 0.0 in, 
7:00 AM, 73 °F, 57 °F, 57 %,  NNE, 6 mph, 0 mph, 29.97 in, 0.0 in, 
7:30 AM, 75 °F, 57 °F, 53 %,  NNE, 6 mph, 0 mph, 29.97 in, 0.0 in, 
8:00 AM, 75 °F, 57 °F, 53 %,  N, 8 mph, 0 mph, 30.00 in, 0.0 in, 
8:30 AM, 77 °F, 57 °F, 50 %,  NNE, 7 mph, 0 mph, 30.00 in, 0.0 in, 
9:00 AM, 77 °F, 57 °F, 50 %,  NNE, 6 mph, 0 mph, 30.00 in, 0.0 in, 
9:30 AM, 79 °F, 57 °F, 47 %,  NNE, 6 mph, 0 mph, 30.00 in, 0.0 in, 
10:00 AM, 81 °F, 57 °F, 45 %,  VAR, 2 mph, 0 mph, 30.00 in, 0.0 in, 
10:30 AM, 82 °F, 59 °F, 45 %,  NE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
11:00 AM, 84 °F, 59 °F, 42 %,  VAR, 5 mph, 0 mph, 30.00 in, 0.0 in, 
11:30 AM, 84 °F, 59 °F, 42 %,  ESE, 6 mph, 0 mph, 29.97 in, 0.0 in, 
12:00 PM, 86 °F, 59 °F, 40 %,  VAR, 6 mph, 0 mph, 29.97 in, 0.0 in, 
12:30 PM, 86 °F, 59 °F, 40 %,  VAR, 6 mph, 0 mph, 29.94 in, 0.0 in, 
1:00 PM, 88 °F, 57 °F, 35 %,  E, 6 mph, 0 mph, 29.94 in, 0.0 in, 
1:30 PM, 88 °F, 57 °F, 35 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
2:00 PM, 90 °F, 59 °F, 36 %,  NNW, 6 mph, 0 mph, 29.88 in, 0.0 in, 
2:30 PM, 90 °F, 59 °F, 36 %,  E, 6 mph, 0 mph, 29.88 in, 0.0 in, 
3:00 PM, 90 °F, 59 °F, 36 %,  NNE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
3:30 PM, 90 °F, 59 °F, 36 %,  NE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
4:00 PM, 90 °F, 59 °F, 36 %,  NE, 5 mph, 0 mph, 29.85 in, 0.0 in, 
4:30 PM, 90 °F, 59 °F, 36 %,  NE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
5:00 PM, 88 °F, 59 °F, 38 %,  E, 5 mph, 0 mph, 29.85 in, 0.0 in, 
5:30 PM, 88 °F, 59 °F, 38 %,  NE, 3 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 PM, 86 °F, 59 °F, 40 %,  NE, 3 mph, 0 mph, 29.88 in, 0.0 in, 
6:30 PM, 82 °F, 64 °F, 54 %,  SSW, 12 mph, 0 mph, 29.88 in, 0.0 in, 
7:00 PM, 82 °F, 66 °F, 58 %,  S, 8 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 PM, 81 °F, 66 °F, 61 %,  S, 7 mph, 0 mph, 29.91 in, 0.0 in, 
8:00 PM, 82 °F, 66 °F, 58 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
8:30 PM, 82 °F, 66 °F, 58 %,  CALM, 0 mph, 0 mph, 29.94 in, 0.0 in, 
9:00 PM, 82 °F, 66 °F, 58 %,  NE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
9:30 PM, 81 °F, 59 °F, 48 %,  NE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
10:00 PM, 79 °F, 57 °F, 47 %,  N, 10 mph, 0 mph, 29.94 in, 0.0 in, 
10:30 PM, 77 °F, 57 °F, 50 %,  NNE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
11:00 PM, 75 °F, 57 °F, 53 %,  NNE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
11:30 PM, 75 °F, 57 °F, 53 %,  NNE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
