Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 72 °F, 78 %,  ESE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
12:30 AM, 79 °F, 72 °F, 78 %,  SE, 8 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 AM, 79 °F, 72 °F, 78 %,  SE, 9 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 AM, 79 °F, 72 °F, 78 %,  SE, 6 mph, 0 mph, 29.85 in, 0.0 in, 
2:00 AM, 79 °F, 72 °F, 78 %,  SE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
2:30 AM, 79 °F, 73 °F, 83 %,  SE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
3:00 AM, 79 °F, 72 °F, 78 %,  SE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
3:30 AM, 79 °F, 72 °F, 78 %,  SE, 5 mph, 0 mph, 29.85 in, 0.0 in, 
4:00 AM, 77 °F, 72 °F, 83 %,  ENE, 2 mph, 0 mph, 29.85 in, 0.0 in, 
4:30 AM, 77 °F, 72 °F, 83 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
5:00 AM, 79 °F, 73 °F, 83 %,  ESE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
5:30 AM, 77 °F, 72 °F, 83 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
6:00 AM, 77 °F, 72 °F, 83 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
6:30 AM, 77 °F, 72 °F, 83 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
7:00 AM, 79 °F, 73 °F, 83 %,  SE, 6 mph, 0 mph, 29.91 in, 0.0 in, 
7:30 AM, 79 °F, 73 °F, 83 %,  SE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
8:00 AM, 81 °F, 73 °F, 79 %,  SE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
8:30 AM, 82 °F, 73 °F, 74 %,  ESE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
9:00 AM, 84 °F, 72 °F, 66 %,  ESE, 10 mph, 0 mph, 29.94 in, 0.0 in, 
9:30 AM, 86 °F, 72 °F, 62 %,  E, 9 mph, 0 mph, 29.94 in, 0.0 in, 
10:00 AM, 88 °F, 72 °F, 58 %,  ESE, 10 mph, 23 mph, 29.94 in, 0.0 in, 
10:30 AM, 90 °F, 68 °F, 49 %,  E, 10 mph, 0 mph, 29.94 in, 0.0 in, 
11:00 AM, 90 °F, 68 °F, 49 %,  ESE, 10 mph, 0 mph, 29.91 in, 0.0 in, 
11:30 AM, 91 °F, 66 °F, 43 %,  E, 12 mph, 0 mph, 29.91 in, 0.0 in, 
12:00 PM, 91 °F, 66 °F, 43 %,  E, 10 mph, 0 mph, 29.88 in, 0.0 in, 
12:30 PM, 93 °F, 64 °F, 38 %,  SE, 7 mph, 20 mph, 29.88 in, 0.0 in, 
1:00 PM, 93 °F, 64 °F, 38 %,  SE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 PM, 95 °F, 66 °F, 39 %,  VAR, 8 mph, 0 mph, 29.85 in, 0.0 in, 
2:00 PM, 93 °F, 66 °F, 41 %,  E, 8 mph, 0 mph, 29.82 in, 0.0 in, 
2:30 PM, 93 °F, 66 °F, 41 %,  E, 6 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 PM, 95 °F, 66 °F, 39 %,  VAR, 6 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 PM, 91 °F, 68 °F, 46 %,  SSE, 13 mph, 26 mph, 29.79 in, 0.0 in, 
4:00 PM, 90 °F, 70 °F, 52 %,  SSE, 14 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 PM, 90 °F, 68 °F, 49 %,  S, 14 mph, 31 mph, 29.82 in, 0.0 in, 
5:00 PM, 88 °F, 66 °F, 49 %,  S, 13 mph, 0 mph, 29.82 in, 0.0 in, 
5:30 PM, 86 °F, 66 °F, 51 %,  SSE, 12 mph, 0 mph, 0.00 in, 0.0 in, 
6:00 PM, 84 °F, 68 °F, 58 %,  S, 12 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 PM, 84 °F, 68 °F, 58 %,  SSE, 8 mph, 0 mph, 29.85 in, 0.0 in, 
7:00 PM, 84 °F, 68 °F, 58 %,  SE, 12 mph, 0 mph, 29.85 in, 0.0 in, 
7:30 PM, 82 °F, 66 °F, 58 %,  SE, 13 mph, 0 mph, 29.88 in, 0.0 in, 
8:00 PM, 82 °F, 66 °F, 58 %,  SE, 13 mph, 0 mph, 29.88 in, 0.0 in, 
8:30 PM, 81 °F, 66 °F, 61 %,  SE, 13 mph, 0 mph, 29.88 in, 0.0 in, 
9:00 PM, 81 °F, 66 °F, 61 %,  SE, 13 mph, 0 mph, 29.91 in, 0.0 in, 
9:30 PM, 81 °F, 66 °F, 61 %,  SE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 PM, 81 °F, 66 °F, 61 %,  SE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 PM, 81 °F, 66 °F, 61 %,  SE, 10 mph, 0 mph, 29.91 in, 0.0 in, 
11:00 PM, 81 °F, 66 °F, 61 %,  SE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
11:30 PM, 81 °F, 66 °F, 61 %,  ESE, 6 mph, 0 mph, 29.91 in, 0.0 in, 
