Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 84 °F, 75 °F, 74 %,  SSE, 9 mph, 0 mph, 29.73 in, 0.0 in, 
12:30 AM, 84 °F, 75 °F, 74 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 AM, 84 °F, 75 °F, 74 %,  S, 8 mph, 0 mph, 29.73 in, 0.0 in, 
1:30 AM, 84 °F, 75 °F, 74 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 AM, 84 °F, 75 °F, 74 %,  SSE, 6 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 82 °F, 75 °F, 79 %,  SSE, 5 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 AM, 82 °F, 75 °F, 79 %,  SSE, 7 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 AM, 82 °F, 73 °F, 74 %,  SSE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 AM, 82 °F, 75 °F, 79 %,  SSE, 7 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 82 °F, 73 °F, 74 %,  SSE, 7 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 82 °F, 73 °F, 74 %,  SSE, 8 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 AM, 82 °F, 73 °F, 74 %,  SSE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 AM, 82 °F, 75 °F, 79 %,  SSE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 AM, 84 °F, 75 °F, 74 %,  SSE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
7:00 AM, 84 °F, 75 °F, 74 %,  SSE, 7 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 AM, 86 °F, 73 °F, 66 %,  S, 6 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 AM, 86 °F, 73 °F, 66 %,  S, 6 mph, 0 mph, 29.82 in, 0.0 in, 
8:30 AM, 86 °F, 73 °F, 66 %,  S, 9 mph, 0 mph, 29.82 in, 0.0 in, 
9:00 AM, 90 °F, 73 °F, 59 %,  SSW, 8 mph, 0 mph, 29.82 in, 0.0 in, 
9:30 AM, 91 °F, 72 °F, 52 %,  SSW, 9 mph, 0 mph, 29.82 in, 0.0 in, 
10:00 AM, 91 °F, 70 °F, 49 %,  SSW, 9 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 AM, 93 °F, 66 °F, 41 %,  S, 9 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 AM, 95 °F, 68 °F, 41 %,  SSW, 8 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 AM, 93 °F, 66 °F, 41 %,  SSE, 10 mph, 0 mph, 29.76 in, 0.0 in, 
12:00 PM, 95 °F, 68 °F, 41 %,  S, 6 mph, 0 mph, 29.76 in, 0.0 in, 
12:30 PM, 95 °F, 66 °F, 39 %,  SE, 10 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 PM, 97 °F, 66 °F, 37 %,  SSE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
1:30 PM, 97 °F, 66 °F, 37 %,  SE, 8 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 97 °F, 64 °F, 34 %,  SE, 8 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 PM, 97 °F, 64 °F, 34 %,  SE, 10 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 PM, 97 °F, 63 °F, 32 %,  SSE, 8 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 97 °F, 63 °F, 32 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
4:00 PM, 95 °F, 61 °F, 32 %,  SSE, 10 mph, 0 mph, 29.67 in, 0.0 in, 
4:30 PM, 95 °F, 61 °F, 32 %,  SSE, 9 mph, 0 mph, 29.67 in, 0.0 in, 
5:00 PM, 93 °F, 63 °F, 36 %,  SSE, 10 mph, 0 mph, 29.67 in, 0.0 in, 
5:30 PM, 91 °F, 63 °F, 38 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
6:00 PM, 90 °F, 64 °F, 43 %,  SSE, 10 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 PM, 88 °F, 66 °F, 49 %,  SSE, 10 mph, 0 mph, 29.70 in, 0.0 in, 
7:00 PM, 88 °F, 68 °F, 52 %,  SSE, 10 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 PM, 86 °F, 70 °F, 58 %,  SSE, 12 mph, 0 mph, 29.70 in, 0.0 in, 
8:00 PM, 86 °F, 72 °F, 62 %,  SSE, 10 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 84 °F, 73 °F, 70 %,  SSE, 13 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 PM, 84 °F, 73 °F, 70 %,  SSE, 12 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 PM, 84 °F, 73 °F, 70 %,  SSE, 9 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 84 °F, 73 °F, 70 %,  SSE, 9 mph, 0 mph, 29.76 in, 0.0 in, 
10:30 PM, 84 °F, 73 °F, 70 %,  SSE, 8 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 PM, 84 °F, 75 °F, 74 %,  SSE, 8 mph, 0 mph, 29.76 in, 0.0 in, 
11:30 PM, 84 °F, 75 °F, 74 %,  SSE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
