Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 77 °F, 94 %,  CALM, 0 mph, 0 mph, 29.91 in, 0.0 in, 
12:30 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.88 in, 0.0 in, 
1:00 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.88 in, 0.0 in, 
1:30 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.88 in, 0.0 in, 
2:00 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
2:30 AM, 77 °F, 77 °F, 100 %,  CALM, 0 mph, 0 mph, 29.85 in, 0.0 in, 
3:00 AM, 77 °F, 77 °F, 100 %,  N, 2 mph, 0 mph, 29.85 in, 0.0 in, 
4:00 AM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
5:00 AM, 0 °F, 0 °F, 0 %,  NNE, 1 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
6:30 AM, 75 °F, 75 °F, 100 %,  NNW, 2 mph, 0 mph, 29.88 in, 0.0 in, 
7:00 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 AM, 79 °F, 75 °F, 89 %,  N, 3 mph, 0 mph, 29.88 in, 0.0 in, 
8:00 AM, 81 °F, 75 °F, 84 %,  NNE, 6 mph, 0 mph, 29.91 in, 0.0 in, 
8:30 AM, 81 °F, 73 °F, 79 %,  NE, 6 mph, 0 mph, 29.91 in, 0.0 in, 
9:00 AM, 81 °F, 73 °F, 79 %,  NNE, 7 mph, 0 mph, 29.91 in, 0.0 in, 
9:30 AM, 82 °F, 72 °F, 70 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 AM, 82 °F, 72 °F, 70 %,  VAR, 2 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 AM, 86 °F, 73 °F, 66 %,  VAR, 3 mph, 0 mph, 29.91 in, 0.0 in, 
11:00 AM, 84 °F, 72 °F, 66 %,  NNE, 5 mph, 0 mph, 29.91 in, 0.0 in, 
11:30 AM, 88 °F, 70 °F, 55 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
12:00 PM, 88 °F, 70 °F, 55 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
12:30 PM, 88 °F, 70 °F, 55 %,  VAR, 5 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 PM, 88 °F, 68 °F, 52 %,  NE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 PM, 90 °F, 70 °F, 52 %,  ESE, 6 mph, 0 mph, 29.82 in, 0.0 in, 
2:00 PM, 91 °F, 70 °F, 49 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
2:30 PM, 88 °F, 66 °F, 49 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
3:00 PM, 91 °F, 66 °F, 43 %,  NNE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
3:30 PM, 90 °F, 66 °F, 46 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
4:00 PM, 90 °F, 66 °F, 46 %,  NE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
4:30 PM, 90 °F, 66 °F, 46 %,  NNE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 PM, 88 °F, 68 °F, 52 %,  NNE, 6 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 PM, 88 °F, 66 °F, 49 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
6:00 PM, 88 °F, 66 °F, 49 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
6:30 PM, 84 °F, 72 °F, 66 %,  S, 9 mph, 0 mph, 29.82 in, 0.0 in, 
7:00 PM, 82 °F, 72 °F, 70 %,  S, 7 mph, 0 mph, 29.82 in, 0.0 in, 
8:00 PM, 82 °F, 72 °F, 70 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
8:30 PM, 81 °F, 66 °F, 61 %,  N, 8 mph, 0 mph, 29.85 in, 0.0 in, 
9:00 PM, 82 °F, 63 °F, 51 %,  NNE, 8 mph, 0 mph, 29.88 in, 0.0 in, 
9:30 PM, 82 °F, 63 °F, 51 %,  NNE, 6 mph, 0 mph, 29.88 in, 0.0 in, 
10:00 PM, 81 °F, 63 °F, 54 %,  NE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
10:30 PM, 79 °F, 63 °F, 57 %,  NE, 8 mph, 0 mph, 29.88 in, 0.0 in, 
11:00 PM, 79 °F, 63 °F, 57 %,  NE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
11:30 PM, 77 °F, 63 °F, 61 %,  NE, 6 mph, 0 mph, 29.88 in, 0.0 in, 
