Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 70 °F, 78 %,  N, 6 mph, 0 mph, 29.97 in, 0.0 in, 
12:30 AM, 77 °F, 70 °F, 78 %,  N, 5 mph, 0 mph, 29.97 in, 0.0 in, 
1:00 AM, 75 °F, 68 °F, 78 %,  N, 7 mph, 0 mph, 29.97 in, 0.0 in, 
1:30 AM, 75 °F, 66 °F, 73 %,  NNE, 5 mph, 0 mph, 29.97 in, 0.0 in, 
2:00 AM, 73 °F, 63 °F, 69 %,  NNE, 5 mph, 0 mph, 29.94 in, 0.0 in, 
2:30 AM, 73 °F, 64 °F, 73 %,  NNE, 5 mph, 0 mph, 29.94 in, 0.0 in, 
3:00 AM, 73 °F, 63 °F, 69 %,  NNE, 3 mph, 0 mph, 29.94 in, 0.0 in, 
3:30 AM, 72 °F, 63 °F, 73 %,  VAR, 3 mph, 0 mph, 29.94 in, 0.0 in, 
4:00 AM, 72 °F, 63 °F, 73 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
4:30 AM, 72 °F, 64 °F, 78 %,  VAR, 2 mph, 0 mph, 29.94 in, 0.0 in, 
5:00 AM, 72 °F, 64 °F, 78 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
5:30 AM, 72 °F, 64 °F, 78 %,  VAR, 2 mph, 0 mph, 29.97 in, 0.0 in, 
6:00 AM, 72 °F, 64 °F, 78 %,  NE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
6:30 AM, 70 °F, 63 °F, 78 %,  NE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
7:00 AM, 73 °F, 63 °F, 69 %,  NE, 3 mph, 0 mph, 30.00 in, 0.0 in, 
7:30 AM, 75 °F, 63 °F, 65 %,  VAR, 3 mph, 0 mph, 30.00 in, 0.0 in, 
8:00 AM, 77 °F, 63 °F, 61 %,  NNE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
8:30 AM, 79 °F, 63 °F, 57 %,  NE, 7 mph, 0 mph, 30.03 in, 0.0 in, 
9:30 AM, 82 °F, 63 °F, 51 %,  ENE, 5 mph, 0 mph, 30.03 in, 0.0 in, 
10:00 AM, 84 °F, 63 °F, 48 %,  ENE, 5 mph, 0 mph, 30.03 in, 0.0 in, 
10:30 AM, 86 °F, 64 °F, 48 %,  VAR, 3 mph, 0 mph, 30.03 in, 0.0 in, 
11:00 AM, 88 °F, 64 °F, 46 %,  NE, 6 mph, 0 mph, 30.00 in, 0.0 in, 
11:30 AM, 90 °F, 63 °F, 40 %,  NNE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
12:00 PM, 90 °F, 59 °F, 36 %,  NE, 6 mph, 0 mph, 29.97 in, 0.0 in, 
12:30 PM, 90 °F, 59 °F, 36 %,  ENE, 8 mph, 0 mph, 29.94 in, 0.0 in, 
1:00 PM, 91 °F, 57 °F, 31 %,  NE, 10 mph, 0 mph, 29.94 in, 0.0 in, 
1:30 PM, 91 °F, 57 °F, 31 %,  NE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
2:00 PM, 93 °F, 59 °F, 32 %,  NNE, 9 mph, 0 mph, 29.91 in, 0.0 in, 
2:30 PM, 91 °F, 59 °F, 34 %,  ENE, 13 mph, 0 mph, 29.91 in, 0.0 in, 
3:00 PM, 91 °F, 59 °F, 34 %,  NE, 13 mph, 0 mph, 29.88 in, 0.0 in, 
3:30 PM, 91 °F, 59 °F, 34 %,  ENE, 9 mph, 0 mph, 29.88 in, 0.0 in, 
4:00 PM, 91 °F, 59 °F, 34 %,  ENE, 9 mph, 0 mph, 29.88 in, 0.0 in, 
4:30 PM, 91 °F, 57 °F, 31 %,  ENE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
5:00 PM, 90 °F, 57 °F, 33 %,  ENE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
5:30 PM, 90 °F, 57 °F, 33 %,  ENE, 7 mph, 0 mph, 29.91 in, 0.0 in, 
6:00 PM, 88 °F, 66 °F, 49 %,  SE, 7 mph, 0 mph, 29.91 in, 0.0 in, 
6:30 PM, 86 °F, 66 °F, 51 %,  ESE, 8 mph, 0 mph, 29.91 in, 0.0 in, 
7:00 PM, 84 °F, 66 °F, 55 %,  VAR, 8 mph, 0 mph, 29.94 in, 0.0 in, 
7:30 PM, 82 °F, 68 °F, 62 %,  SE, 7 mph, 0 mph, 29.94 in, 0.0 in, 
8:00 PM, 81 °F, 68 °F, 65 %,  ESE, 6 mph, 0 mph, 29.97 in, 0.0 in, 
8:30 PM, 81 °F, 68 °F, 65 %,  ESE, 5 mph, 0 mph, 29.97 in, 0.0 in, 
9:00 PM, 79 °F, 70 °F, 74 %,  VAR, 3 mph, 0 mph, 29.97 in, 0.0 in, 
9:30 PM, 77 °F, 68 °F, 74 %,  ENE, 8 mph, 0 mph, 29.97 in, 0.0 in, 
10:00 PM, 77 °F, 68 °F, 74 %,  ENE, 5 mph, 0 mph, 30.00 in, 0.0 in, 
10:30 PM, 77 °F, 70 °F, 78 %,  ENE, 3 mph, 0 mph, 29.97 in, 0.0 in, 
11:00 PM, 79 °F, 68 °F, 69 %,  NE, 2 mph, 0 mph, 29.97 in, 0.0 in, 
11:30 PM, 79 °F, 68 °F, 69 %,  NNE, 3 mph, 0 mph, 29.97 in, 0.0 in, 
