Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 82 °F, 82 °F, 100 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 AM, 82 °F, 82 °F, 100 %,  SSW, 6 mph, 0 mph, 29.70 in, 0.0 in, 
1:30 AM, 82 °F, 81 °F, 94 %,  S, 6 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 AM, 82 °F, 82 °F, 100 %,  SSW, 6 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 AM, 82 °F, 81 °F, 94 %,  S, 6 mph, 0 mph, 29.70 in, 0.0 in, 
3:00 AM, 82 °F, 81 °F, 94 %,  SSW, 7 mph, 0 mph, 29.70 in, 0.0 in, 
3:30 AM, 82 °F, 81 °F, 94 %,  SSW, 7 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 AM, 82 °F, 81 °F, 94 %,  SSW, 9 mph, 0 mph, 29.70 in, 0.0 in, 
4:30 AM, 82 °F, 81 °F, 94 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 82 °F, 81 °F, 94 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 AM, 82 °F, 81 °F, 94 %,  S, 5 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 AM, 82 °F, 81 °F, 94 %,  S, 5 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 AM, 82 °F, 81 °F, 94 %,  S, 5 mph, 0 mph, 29.76 in, 0.0 in, 
7:00 AM, 82 °F, 81 °F, 94 %,  SSE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 AM, 86 °F, 81 °F, 84 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 AM, 86 °F, 81 °F, 84 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
8:30 AM, 88 °F, 79 °F, 75 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 AM, 90 °F, 81 °F, 75 %,  ESE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 AM, 90 °F, 81 °F, 75 %,  E, 5 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 AM, 91 °F, 79 °F, 66 %,  S, 5 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 AM, 91 °F, 73 °F, 55 %,  S, 6 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 AM, 91 °F, 79 °F, 66 %,  SSW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 AM, 93 °F, 77 °F, 59 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
12:00 PM, 95 °F, 79 °F, 59 %,  VAR, 5 mph, 0 mph, 29.76 in, 0.0 in, 
12:30 PM, 95 °F, 79 °F, 59 %,  VAR, 5 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 PM, 95 °F, 81 °F, 63 %,  S, 6 mph, 0 mph, 29.73 in, 0.0 in, 
1:30 PM, 93 °F, 79 °F, 63 %,  SSE, 7 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 95 °F, 79 °F, 59 %,  S, 6 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 PM, 95 °F, 77 °F, 56 %,  ESE, 7 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 PM, 95 °F, 77 °F, 56 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 95 °F, 77 °F, 56 %,  SSE, 7 mph, 0 mph, 29.64 in, 0.0 in, 
4:00 PM, 95 °F, 77 °F, 56 %,  SSE, 8 mph, 0 mph, 29.64 in, 0.0 in, 
4:30 PM, 91 °F, 73 °F, 55 %,  S, 10 mph, 0 mph, 29.64 in, 0.0 in, 
5:00 PM, 91 °F, 73 °F, 55 %,  S, 8 mph, 0 mph, 29.64 in, 0.0 in, 
5:30 PM, 90 °F, 79 °F, 70 %,  S, 9 mph, 0 mph, 29.64 in, 0.0 in, 
6:00 PM, 88 °F, 79 °F, 75 %,  SSE, 9 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 PM, 88 °F, 77 °F, 70 %,  SSE, 8 mph, 0 mph, 29.67 in, 0.0 in, 
7:00 PM, 86 °F, 77 °F, 74 %,  SSE, 9 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 PM, 86 °F, 79 °F, 79 %,  SSE, 10 mph, 0 mph, 29.70 in, 0.0 in, 
8:00 PM, 84 °F, 81 °F, 89 %,  SSE, 8 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 84 °F, 81 °F, 89 %,  SE, 7 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 PM, 84 °F, 81 °F, 89 %,  S, 10 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 PM, 84 °F, 81 °F, 89 %,  SSE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
10:00 PM, 84 °F, 81 °F, 89 %,  SSE, 8 mph, 0 mph, 29.76 in, 0.0 in, 
10:30 PM, 84 °F, 81 °F, 89 %,  SSE, 7 mph, 0 mph, 29.79 in, 0.0 in, 
11:00 PM, 84 °F, 81 °F, 89 %,  SSE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
11:30 PM, 84 °F, 81 °F, 89 %,  S, 5 mph, 0 mph, 29.79 in, 0.0 in, 
