Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 82 °F, 79 °F, 89 %,  WSW, 6 mph, 0 mph, 29.76 in, 0.0 in, 
12:30 AM, 82 °F, 79 °F, 89 %,  WSW, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 81 °F, 79 °F, 94 %,  WSW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 81 °F, 79 °F, 94 %,  WSW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 AM, 81 °F, 79 °F, 94 %,  WSW, 7 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 81 °F, 77 °F, 89 %,  WSW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 AM, 81 °F, 77 °F, 89 %,  WSW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 AM, 81 °F, 79 °F, 94 %,  WSW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 AM, 81 °F, 79 °F, 94 %,  SW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 81 °F, 79 °F, 94 %,  SW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 81 °F, 79 °F, 94 %,  SW, 3 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 AM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 AM, 81 °F, 79 °F, 94 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 AM, 82 °F, 81 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
7:00 AM, 84 °F, 81 °F, 89 %,  WSW, 3 mph, 0 mph, 29.79 in, 0.0 in, 
7:30 AM, 84 °F, 81 °F, 89 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
8:00 AM, 86 °F, 79 °F, 79 %,  WSW, 5 mph, 0 mph, 29.79 in, 0.0 in, 
8:30 AM, 86 °F, 81 °F, 84 %,  W, 6 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 AM, 88 °F, 81 °F, 79 %,  WSW, 6 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 AM, 90 °F, 77 °F, 66 %,  VAR, 3 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 AM, 91 °F, 75 °F, 59 %,  W, 5 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 AM, 91 °F, 75 °F, 59 %,  WNW, 5 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 AM, 91 °F, 75 °F, 59 %,  WSW, 6 mph, 0 mph, 29.76 in, 0.0 in, 
11:30 AM, 90 °F, 75 °F, 62 %,  WSW, 5 mph, 0 mph, 29.76 in, 0.0 in, 
12:00 PM, 95 °F, 70 °F, 44 %,  WSW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
12:30 PM, 93 °F, 70 °F, 46 %,  WNW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 PM, 95 °F, 70 °F, 44 %,  WNW, 5 mph, 0 mph, 29.70 in, 0.0 in, 
1:30 PM, 95 °F, 70 °F, 44 %,  NW, 5 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 95 °F, 72 °F, 47 %,  NW, 6 mph, 0 mph, 29.67 in, 0.0 in, 
2:30 PM, 95 °F, 70 °F, 44 %,  NNW, 7 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 PM, 95 °F, 72 °F, 47 %,  NNW, 5 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 PM, 95 °F, 70 °F, 44 %,  NW, 3 mph, 0 mph, 29.64 in, 0.0 in, 
4:00 PM, 97 °F, 72 °F, 44 %,  NNW, 6 mph, 0 mph, 29.64 in, 0.0 in, 
4:30 PM, 95 °F, 70 °F, 44 %,  WNW, 6 mph, 0 mph, 29.64 in, 0.0 in, 
5:00 PM, 93 °F, 70 °F, 46 %,  WNW, 7 mph, 0 mph, 29.67 in, 0.0 in, 
5:30 PM, 93 °F, 73 °F, 52 %,  NW, 6 mph, 0 mph, 29.67 in, 0.0 in, 
6:00 PM, 91 °F, 72 °F, 52 %,  WNW, 6 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 PM, 91 °F, 73 °F, 55 %,  WNW, 5 mph, 0 mph, 29.67 in, 0.0 in, 
7:00 PM, 90 °F, 73 °F, 59 %,  WNW, 5 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 PM, 88 °F, 73 °F, 62 %,  W, 3 mph, 0 mph, 29.70 in, 0.0 in, 
8:00 PM, 88 °F, 73 °F, 62 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 88 °F, 82 °F, 84 %,  S, 8 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 PM, 86 °F, 84 °F, 94 %,  SSE, 6 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 PM, 86 °F, 82 °F, 89 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 86 °F, 82 °F, 89 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 PM, 86 °F, 82 °F, 89 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 PM, 84 °F, 82 °F, 94 %,  SW, 8 mph, 0 mph, 29.73 in, 0.0 in, 
