Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 0 °F, 0 °F, 0 %,  0, mph 0, mph 0.00, in 0.0, 
12:30 AM, 79 °F, 79 °F, 100 %,  NNE, 3 mph, 0 mph, 29.70 in, 0.0 in, 
1:00 AM, 79 °F, 79 °F, 100 %,  NE, 3 mph, 0 mph, 29.70 in, 0.0 in, 
1:30 AM, 79 °F, 79 °F, 100 %,  NE, 3 mph, 0 mph, 29.67 in, 0.0 in, 
2:00 AM, 79 °F, 79 °F, 100 %,  ENE, 6 mph, 0 mph, 29.67 in, 0.0 in, 
2:30 AM, 79 °F, 79 °F, 100 %,  ENE, 8 mph, 0 mph, 29.67 in, 0.0 in, 
3:00 AM, 79 °F, 79 °F, 100 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
3:30 AM, 79 °F, 79 °F, 100 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 AM, 79 °F, 79 °F, 100 %,  VAR, 1 mph, 0 mph, 29.67 in, 0.0 in, 
4:30 AM, 79 °F, 79 °F, 100 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
5:00 AM, 79 °F, 77 °F, 94 %,  ENE, 3 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 AM, 79 °F, 77 °F, 94 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
6:00 AM, 79 °F, 79 °F, 100 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
6:30 AM, 81 °F, 79 °F, 94 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 AM, 82 °F, 79 °F, 89 %,  NE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
7:30 AM, 84 °F, 79 °F, 84 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
8:00 AM, 84 °F, 79 °F, 84 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 AM, 86 °F, 81 °F, 84 %,  N, 5 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 AM, 88 °F, 81 °F, 79 %,  NW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 AM, 90 °F, 81 °F, 75 %,  N, 7 mph, 0 mph, 29.70 in, 0.0 in, 
10:00 AM, 90 °F, 81 °F, 75 %,  N, 7 mph, 0 mph, 29.70 in, 0.0 in, 
10:30 AM, 90 °F, 81 °F, 75 %,  N, 7 mph, 0 mph, 29.70 in, 0.0 in, 
11:00 AM, 91 °F, 79 °F, 66 %,  N, 6 mph, 0 mph, 29.67 in, 0.0 in, 
11:30 AM, 90 °F, 79 °F, 70 %,  N, 6 mph, 0 mph, 29.67 in, 0.0 in, 
12:00 PM, 91 °F, 77 °F, 63 %,  N, 5 mph, 0 mph, 29.64 in, 0.0 in, 
12:30 PM, 93 °F, 77 °F, 59 %,  N, 6 mph, 0 mph, 29.64 in, 0.0 in, 
1:00 PM, 93 °F, 79 °F, 63 %,  VAR, 3 mph, 0 mph, 29.61 in, 0.0 in, 
1:30 PM, 91 °F, 79 °F, 66 %,  NNW, 6 mph, 0 mph, 29.61 in, 0.0 in, 
2:00 PM, 93 °F, 77 °F, 59 %,  NW, 3 mph, 0 mph, 29.58 in, 0.0 in, 
2:30 PM, 93 °F, 79 °F, 63 %,  NW, 5 mph, 0 mph, 29.55 in, 0.0 in, 
3:00 PM, 93 °F, 77 °F, 59 %,  VAR, 1 mph, 0 mph, 29.55 in, 0.0 in, 
3:30 PM, 82 °F, 75 °F, 79 %,  NW, 14 mph, 0 mph, 29.55 in, 0.0 in, 
4:00 PM, 86 °F, 77 °F, 74 %,  VAR, 2 mph, 0 mph, 29.55 in, 0.0 in, Light Rain, 
4:30 PM, 86 °F, 79 °F, 79 %,  VAR, 8 mph, 0 mph, 29.58 in, 0.0 in, Light Rain, 
5:00 PM, 82 °F, 79 °F, 89 %,  S, 10 mph, 0 mph, 29.58 in, 0.0 in, 
5:30 PM, 79 °F, 79 °F, 100 %,  ENE, 14 mph, 30 mph, 29.61 in, 0.0 in, 
6:00 PM, 75 °F, 75 °F, 100 %,  ENE, 5 mph, 0 mph, 29.64 in, 0.0 in, 
6:30 PM, 75 °F, 75 °F, 100 %,  WNW, 5 mph, 0 mph, 29.67 in, 0.0 in, 
7:00 PM, 77 °F, 77 °F, 100 %,  SW, 8 mph, 0 mph, 29.67 in, 0.0 in, Light Rain, 
7:30 PM, 77 °F, 77 °F, 100 %,  S, 9 mph, 0 mph, 29.67 in, 0.0 in, 
8:00 PM, 77 °F, 77 °F, 100 %,  S, 8 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 77 °F, 77 °F, 100 %,  SSE, 5 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 PM, 77 °F, 77 °F, 100 %,  N, 5 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
9:30 PM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
10:00 PM, 79 °F, 79 °F, 100 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
10:30 PM, 79 °F, 79 °F, 100 %,  E, 5 mph, 0 mph, 29.67 in, 0.0 in, 
11:00 PM, 79 °F, 79 °F, 100 %,  E, 7 mph, 0 mph, 29.67 in, 0.0 in, 
11:30 PM, 79 °F, 79 °F, 100 %,  E, 6 mph, 0 mph, 29.67 in, 0.0 in, 
