Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 77 °F, 77 °F, 100 %,  WNW, 3 mph, 0 mph, 29.88 in, 0.0 in, 
12:30 AM, 77 °F, 77 °F, 100 %,  NW, 5 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 AM, 77 °F, 75 °F, 94 %,  WNW, 5 mph, 0 mph, 29.85 in, 0.0 in, 
1:30 AM, 75 °F, 75 °F, 100 %,  NW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
2:00 AM, 75 °F, 75 °F, 100 %,  NW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
2:30 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
3:00 AM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
3:30 AM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.82 in, 0.0 in, 
4:00 AM, 75 °F, 75 °F, 100 %,  NE, 5 mph, 0 mph, 29.82 in, 0.0 in, 
4:30 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in, 
5:00 AM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
5:30 AM, 75 °F, 75 °F, 100 %,  NE, 3 mph, 0 mph, 29.85 in, 0.0 in, 
6:00 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.85 in, 0.0 in, 
6:30 AM, 75 °F, 75 °F, 100 %,  NNE, 3 mph, 0 mph, 29.88 in, 0.0 in, 
7:00 AM, 75 °F, 73 °F, 94 %,  N, 5 mph, 0 mph, 29.88 in, 0.0 in, 
7:30 AM, 77 °F, 77 °F, 100 %,  NNW, 5 mph, 0 mph, 29.91 in, 0.0 in, 
8:00 AM, 77 °F, 77 °F, 100 %,  NNW, 7 mph, 0 mph, 29.91 in, 0.0 in, 
8:30 AM, 77 °F, 77 °F, 100 %,  NNW, 7 mph, 0 mph, 29.91 in, 0.0 in, 
9:00 AM, 79 °F, 77 °F, 94 %,  N, 8 mph, 0 mph, 29.91 in, 0.0 in, 
9:30 AM, 81 °F, 77 °F, 89 %,  NNW, 7 mph, 0 mph, 29.91 in, 0.0 in, 
10:00 AM, 82 °F, 77 °F, 84 %,  NW, 5 mph, 0 mph, 29.91 in, 0.0 in, 
10:30 AM, 84 °F, 77 °F, 79 %,  VAR, 2 mph, 0 mph, 29.88 in, 0.0 in, 
11:00 AM, 86 °F, 77 °F, 74 %,  N, 7 mph, 0 mph, 29.88 in, 0.0 in, 
11:30 AM, 86 °F, 77 °F, 74 %,  NNE, 5 mph, 0 mph, 29.88 in, 0.0 in, 
12:00 PM, 86 °F, 77 °F, 74 %,  N, 6 mph, 0 mph, 29.85 in, 0.0 in, 
12:30 PM, 86 °F, 79 °F, 79 %,  N, 6 mph, 0 mph, 29.85 in, 0.0 in, 
1:00 PM, 88 °F, 77 °F, 70 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in, 
1:30 PM, 90 °F, 79 °F, 70 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
2:00 PM, 90 °F, 73 °F, 59 %,  VAR, 6 mph, 0 mph, 29.79 in, 0.0 in, 
2:30 PM, 90 °F, 72 °F, 55 %,  SSE, 3 mph, 0 mph, 29.79 in, 0.0 in, 
3:00 PM, 90 °F, 73 °F, 59 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
3:30 PM, 90 °F, 73 °F, 59 %,  E, 5 mph, 0 mph, 29.76 in, 0.0 in, 
4:00 PM, 91 °F, 73 °F, 55 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
4:30 PM, 90 °F, 73 °F, 59 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
5:00 PM, 88 °F, 75 °F, 66 %,  ESE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
5:30 PM, 86 °F, 75 °F, 70 %,  S, 7 mph, 0 mph, 29.79 in, 0.0 in, 
6:00 PM, 86 °F, 75 °F, 70 %,  SSW, 7 mph, 0 mph, 29.79 in, 0.0 in, 
6:30 PM, 84 °F, 75 °F, 74 %,  S, 7 mph, 0 mph, 29.82 in, 0.0 in, 
7:00 PM, 84 °F, 75 °F, 74 %,  S, 7 mph, 0 mph, 29.82 in, 0.0 in, 
7:30 PM, 84 °F, 75 °F, 74 %,  S, 7 mph, 0 mph, 29.85 in, 0.0 in, 
8:00 PM, 84 °F, 77 °F, 79 %,  VAR, 5 mph, 0 mph, 29.85 in, 0.0 in, 
8:30 PM, 82 °F, 75 °F, 79 %,  N, 5 mph, 0 mph, 29.85 in, 0.0 in, 
9:00 PM, 82 °F, 77 °F, 84 %,  WNW, 3 mph, 0 mph, 29.85 in, 0.0 in, 
9:30 PM, 82 °F, 75 °F, 79 %,  VAR, 1 mph, 0 mph, 29.85 in, 0.0 in, 
10:00 PM, 81 °F, 77 °F, 89 %,  NW, 5 mph, 0 mph, 29.85 in, 0.0 in, 
10:30 PM, 81 °F, 77 °F, 89 %,  N, 8 mph, 0 mph, 29.85 in, 0.0 in, Light Rain, 
11:00 PM, 77 °F, 77 °F, 100 %,  NNE, 6 mph, 0 mph, 29.85 in, 0.0 in, Light Rain, 
11:30 PM, 77 °F, 77 °F, 100 %,  W, 3 mph, 0 mph, 29.85 in, 0.0 in, 
