Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 82 °F, 75 °F, 79 %,  SE, 9 mph, 0 mph, 29.79 in, 0.0 in, 
12:30 AM, 82 °F, 75 °F, 79 %,  SE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 82 °F, 75 °F, 79 %,  SE, 12 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 82 °F, 75 °F, 79 %,  SE, 12 mph, 0 mph, 29.76 in, 0.0 in, 
2:30 AM, 79 °F, 77 °F, 94 %,  VAR, 8 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
3:00 AM, 79 °F, 77 °F, 94 %,  SE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
3:30 AM, 81 °F, 75 °F, 84 %,  ESE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
4:00 AM, 81 °F, 75 °F, 84 %,  SE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
4:30 AM, 79 °F, 75 °F, 89 %,  SE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
5:00 AM, 79 °F, 75 °F, 89 %,  SE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
5:30 AM, 79 °F, 75 °F, 89 %,  ESE, 8 mph, 0 mph, 29.79 in, 0.0 in, 
6:00 AM, 79 °F, 73 °F, 83 %,  ESE, 10 mph, 0 mph, 29.79 in, 0.0 in, 
6:30 AM, 81 °F, 75 °F, 84 %,  ESE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
7:00 AM, 81 °F, 75 °F, 84 %,  ESE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
7:30 AM, 82 °F, 75 °F, 79 %,  E, 6 mph, 0 mph, 29.85 in, 0.0 in, 
8:00 AM, 84 °F, 73 °F, 70 %,  ENE, 7 mph, 0 mph, 29.85 in, 0.0 in, 
8:30 AM, 86 °F, 73 °F, 66 %,  E, 8 mph, 0 mph, 29.88 in, 0.0 in, 
9:00 AM, 86 °F, 73 °F, 66 %,  NE, 7 mph, 0 mph, 29.88 in, 0.0 in, 
9:30 AM, 88 °F, 73 °F, 62 %,  VAR, 3 mph, 0 mph, 29.88 in, 0.0 in, 
10:00 AM, 90 °F, 70 °F, 52 %,  VAR, 6 mph, 0 mph, 29.88 in, 0.0 in, 
10:30 AM, 91 °F, 72 °F, 52 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in, 
11:00 AM, 91 °F, 70 °F, 49 %,  ENE, 8 mph, 0 mph, 29.85 in, 0.0 in, 
11:30 AM, 91 °F, 68 °F, 46 %,  E, 8 mph, 0 mph, 29.82 in, 0.0 in, 
12:00 PM, 91 °F, 66 °F, 43 %,  ENE, 8 mph, 0 mph, 29.82 in, 0.0 in, 
12:30 PM, 93 °F, 66 °F, 41 %,  E, 6 mph, 0 mph, 29.79 in, 0.0 in, 
1:00 PM, 93 °F, 66 °F, 41 %,  VAR, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 PM, 93 °F, 64 °F, 38 %,  NE, 8 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 PM, 95 °F, 66 °F, 39 %,  NNE, 7 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 PM, 95 °F, 64 °F, 36 %,  NE, 8 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 PM, 95 °F, 64 °F, 36 %,  NNE, 8 mph, 0 mph, 29.70 in, 0.0 in, 
3:30 PM, 93 °F, 70 °F, 46 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 PM, 91 °F, 72 °F, 52 %,  S, 9 mph, 0 mph, 29.70 in, 0.0 in, 
4:30 PM, 91 °F, 73 °F, 55 %,  S, 13 mph, 0 mph, 29.70 in, 0.0 in, 
5:00 PM, 90 °F, 72 °F, 55 %,  SSE, 9 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 PM, 90 °F, 72 °F, 55 %,  SSE, 9 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 PM, 88 °F, 73 °F, 62 %,  S, 8 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 PM, 86 °F, 73 °F, 66 %,  S, 7 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 PM, 86 °F, 75 °F, 70 %,  S, 6 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 PM, 86 °F, 73 °F, 66 %,  SE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 PM, 86 °F, 72 °F, 62 %,  SE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 PM, 84 °F, 73 °F, 70 %,  SE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
9:00 PM, 84 °F, 75 °F, 74 %,  ENE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
9:30 PM, 84 °F, 75 °F, 74 %,  E, 5 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 PM, 82 °F, 75 °F, 79 %,  ENE, 3 mph, 0 mph, 29.82 in, 0.0 in, 
10:30 PM, 82 °F, 75 °F, 79 %,  NNW, 6 mph, 0 mph, 29.82 in, 0.0 in, 
11:00 PM, 82 °F, 72 °F, 70 %,  NE, 7 mph, 0 mph, 29.82 in, 0.0 in, 
11:30 PM, 82 °F, 70 °F, 66 %,  NNE, 5 mph, 0 mph, 29.79 in, 0.0 in, 
