Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 73 °F, 73 °F, 100 %,  NW, 5 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
12:30 AM, 75 °F, 73 °F, 94 %,  NW, 7 mph, 0 mph, 29.73 in, 0.0 in, Thunder in, 
1:00 AM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, Thunder in, 
1:30 AM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 AM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 AM, 77 °F, 77 °F, 100 %,  WNW, 5 mph, 0 mph, 29.70 in, 0.0 in, 
3:00 AM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
3:30 AM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 AM, 77 °F, 75 °F, 94 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
4:30 AM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
5:00 AM, 77 °F, 77 °F, 100 %,  ESE, 5 mph, 0 mph, 29.70 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  ENE, 6 mph, 0 mph, 29.67 in, 0.0 in, 
6:00 AM, 77 °F, 77 °F, 100 %,  NE, 5 mph, 0 mph, 29.70 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  N, 5 mph, 0 mph, 29.70 in, 0.0 in, 
7:00 AM, 79 °F, 79 °F, 100 %,  NNE, 5 mph, 0 mph, 29.73 in, 0.0 in, 
7:30 AM, 81 °F, 79 °F, 94 %,  ENE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
8:00 AM, 82 °F, 79 °F, 89 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 AM, 82 °F, 79 °F, 89 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 AM, 84 °F, 77 °F, 79 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 AM, 86 °F, 79 °F, 79 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 AM, 88 °F, 79 °F, 75 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 AM, 90 °F, 77 °F, 66 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
11:00 AM, 91 °F, 77 °F, 63 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
11:30 AM, 93 °F, 75 °F, 56 %,  VAR, 2 mph, 0 mph, 29.67 in, 0.0 in, 
12:00 PM, 93 °F, 73 °F, 52 %,  VAR, 3 mph, 0 mph, 29.67 in, 0.0 in, 
12:30 PM, 95 °F, 77 °F, 56 %,  VAR, 2 mph, 0 mph, 29.64 in, 0.0 in, 
1:00 PM, 95 °F, 73 °F, 49 %,  W, 6 mph, 0 mph, 29.64 in, 0.0 in, 
1:30 PM, 95 °F, 79 °F, 59 %,  VAR, 1 mph, 0 mph, 29.61 in, 0.0 in, 
2:00 PM, 93 °F, 75 °F, 56 %,  VAR, 2 mph, 0 mph, 29.61 in, 0.0 in, 
2:30 PM, 95 °F, 75 °F, 53 %,  VAR, 5 mph, 0 mph, 29.61 in, 0.0 in, 
3:00 PM, 95 °F, 79 °F, 59 %,  WNW, 5 mph, 0 mph, 29.58 in, 0.0 in, 
3:30 PM, 86 °F, 77 °F, 74 %,  SSW, 14 mph, 0 mph, 29.58 in, 0.0 in, Light Rain, 
4:00 PM, 86 °F, 79 °F, 79 %,  SSW, 13 mph, 0 mph, 29.58 in, 0.0 in, Light Rain, 
4:30 PM, 91 °F, 77 °F, 63 %,  SW, 5 mph, 0 mph, 29.58 in, 0.0 in, 
5:00 PM, 91 °F, 75 °F, 59 %,  WSW, 5 mph, 0 mph, 29.58 in, 0.0 in, 
5:30 PM, 91 °F, 79 °F, 66 %,  W, 2 mph, 0 mph, 29.58 in, 0.0 in, 
6:00 PM, 90 °F, 79 °F, 70 %,  VAR, 3 mph, 0 mph, 29.61 in, 0.0 in, 
6:30 PM, 86 °F, 75 °F, 70 %,  SE, 5 mph, 0 mph, 29.61 in, 0.0 in, Light Rain, 
8:00 PM, 73 °F, 73 °F, 100 %,  CALM, 0 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
8:30 PM, 75 °F, 73 °F, 94 %,  SSW, 7 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
9:00 PM, 77 °F, 75 °F, 94 %,  NW, 5 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
9:30 PM, 77 °F, 75 °F, 94 %,  WNW, 6 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
10:00 PM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
10:30 PM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
11:00 PM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
11:30 PM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
