Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 79 °F, 77 °F, 94 %,  NW, 3 mph, 0 mph, 29.76 in, 0.0 in, 
12:30 AM, 79 °F, 77 °F, 94 %,  N, 5 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 79 °F, 77 °F, 94 %,  N, 6 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
2:00 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 79 °F, 77 °F, 94 %,  N, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:00 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 AM, 79 °F, 77 °F, 94 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 79 °F, 77 °F, 94 %,  NNE, 2 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 79 °F, 77 °F, 94 %,  NNE, 1 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  NNE, 3 mph, 0 mph, 29.76 in, 0.0 in, 
6:00 AM, 77 °F, 77 °F, 100 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
6:30 AM, 79 °F, 77 °F, 94 %,  NNE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
7:00 AM, 81 °F, 79 °F, 94 %,  NNE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
7:30 AM, 82 °F, 79 °F, 89 %,  NNE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
8:00 AM, 84 °F, 79 °F, 84 %,  NNE, 6 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 AM, 84 °F, 79 °F, 84 %,  NNE, 7 mph, 0 mph, 29.76 in, 0.0 in, 
9:00 AM, 86 °F, 79 °F, 79 %,  NE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 AM, 88 °F, 81 °F, 79 %,  NNE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
10:00 AM, 90 °F, 81 °F, 75 %,  NNE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
10:30 AM, 91 °F, 81 °F, 71 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 AM, 90 °F, 79 °F, 70 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 AM, 91 °F, 81 °F, 71 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
12:00 PM, 93 °F, 75 °F, 56 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
12:30 PM, 95 °F, 73 °F, 49 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
1:00 PM, 95 °F, 75 °F, 53 %,  VAR, 1 mph, 0 mph, 29.67 in, 0.0 in, 
1:30 PM, 95 °F, 73 °F, 49 %,  VAR, 3 mph, 0 mph, 29.67 in, 0.0 in, 
2:00 PM, 95 °F, 77 °F, 56 %,  VAR, 3 mph, 0 mph, 29.67 in, 0.0 in, 
2:30 PM, 95 °F, 75 °F, 53 %,  VAR, 3 mph, 0 mph, 29.64 in, 0.0 in, 
3:00 PM, 93 °F, 73 °F, 52 %,  VAR, 3 mph, 0 mph, 29.64 in, 0.0 in, 
3:30 PM, 93 °F, 77 °F, 59 %,  WSW, 7 mph, 0 mph, 29.61 in, 0.0 in, 
4:30 PM, 93 °F, 77 °F, 59 %,  WSW, 5 mph, 0 mph, 29.61 in, 0.0 in, 
5:00 PM, 91 °F, 79 °F, 66 %,  S, 9 mph, 0 mph, 29.64 in, 0.0 in, 
5:30 PM, 90 °F, 79 °F, 70 %,  SSE, 7 mph, 0 mph, 29.64 in, 0.0 in, 
6:00 PM, 84 °F, 77 °F, 79 %,  N, 7 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 PM, 84 °F, 79 °F, 84 %,  NNW, 6 mph, 0 mph, 29.67 in, 0.0 in, Light Rain, 
7:00 PM, 82 °F, 79 °F, 89 %,  VAR, 3 mph, 0 mph, 29.70 in, 0.0 in, Light Rain, 
7:30 PM, 82 °F, 75 °F, 79 %,  VAR, 1 mph, 0 mph, 29.67 in, 0.0 in, 
8:00 PM, 82 °F, 77 °F, 84 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
8:30 PM, 82 °F, 77 °F, 84 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
9:00 PM, 82 °F, 75 °F, 79 %,  NNE, 5 mph, 0 mph, 29.73 in, 0.0 in, 
9:30 PM, 82 °F, 75 °F, 79 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 81 °F, 77 °F, 89 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 PM, 81 °F, 79 °F, 94 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
11:00 PM, 81 °F, 79 °F, 94 %,  VAR, 2 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 PM, 82 °F, 79 °F, 89 %,  ENE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
