Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
12:00 AM, 75 °F, 75 °F, 100 %,  SSE, 7 mph, 0 mph, 29.76 in, 0.0 in, Light Rain, 
12:30 AM, 77 °F, 75 °F, 94 %,  E, 3 mph, 0 mph, 29.76 in, 0.0 in, 
1:00 AM, 75 °F, 75 °F, 100 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
1:30 AM, 75 °F, 75 °F, 100 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
2:00 AM, 77 °F, 75 °F, 94 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
2:30 AM, 77 °F, 77 °F, 100 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
3:00 AM, 77 °F, 77 °F, 100 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
3:30 AM, 77 °F, 77 °F, 100 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
4:00 AM, 77 °F, 77 °F, 100 %,  NNE, 6 mph, 0 mph, 29.73 in, 0.0 in, 
4:30 AM, 77 °F, 77 °F, 100 %,  ENE, 6 mph, 0 mph, 29.73 in, 0.0 in, 
5:00 AM, 77 °F, 77 °F, 100 %,  ENE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 AM, 77 °F, 77 °F, 100 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 AM, 77 °F, 77 °F, 100 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
6:30 AM, 77 °F, 77 °F, 100 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 AM, 79 °F, 77 °F, 94 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 AM, 79 °F, 79 °F, 100 %,  ENE, 3 mph, 0 mph, 29.73 in, 0.0 in, 
8:00 AM, 79 °F, 79 °F, 100 %,  E, 5 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 AM, 79 °F, 79 °F, 100 %,  ENE, 2 mph, 0 mph, 29.76 in, 0.0 in, 
9:00 AM, 79 °F, 79 °F, 100 %,  NE, 5 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 AM, 81 °F, 79 °F, 94 %,  VAR, 1 mph, 0 mph, 29.79 in, 0.0 in, 
10:00 AM, 81 °F, 79 °F, 94 %,  VAR, 2 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 AM, 81 °F, 81 °F, 100 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 AM, 82 °F, 81 °F, 94 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
11:30 AM, 82 °F, 81 °F, 94 %,  VAR, 2 mph, 0 mph, 29.76 in, 0.0 in, 
12:00 PM, 84 °F, 81 °F, 89 %,  VAR, 1 mph, 0 mph, 29.76 in, 0.0 in, 
12:30 PM, 84 °F, 79 °F, 84 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
1:00 PM, 84 °F, 81 °F, 89 %,  VAR, 1 mph, 0 mph, 29.73 in, 0.0 in, 
1:30 PM, 84 °F, 79 °F, 84 %,  N, 1 mph, 0 mph, 29.70 in, 0.0 in, 
2:00 PM, 84 °F, 81 °F, 89 %,  VAR, 2 mph, 0 mph, 29.70 in, 0.0 in, 
2:30 PM, 84 °F, 79 °F, 84 %,  CALM, 0 mph, 0 mph, 29.70 in, 0.0 in, 
3:00 PM, 84 °F, 81 °F, 89 %,  VAR, 1 mph, 0 mph, 29.70 in, 0.0 in, 
4:00 PM, 77 °F, 77 °F, 100 %,  S, 22 mph, 0 mph, 29.70 in, 0.0 in, Rain Shower, 
4:30 PM, 75 °F, 75 °F, 100 %,  S, 15 mph, 0 mph, 29.70 in, 0.0 in, Heavy Rain, 
5:00 PM, 77 °F, 75 °F, 94 %,  S, 10 mph, 0 mph, 29.73 in, 0.0 in, 
5:30 PM, 77 °F, 75 °F, 94 %,  SSW, 3 mph, 0 mph, 29.73 in, 0.0 in, 
6:00 PM, 77 °F, 77 °F, 100 %,  SW, 7 mph, 0 mph, 29.73 in, 0.0 in, Light Rain, 
6:30 PM, 77 °F, 77 °F, 100 %,  SW, 10 mph, 0 mph, 29.73 in, 0.0 in, 
7:00 PM, 77 °F, 77 °F, 100 %,  WSW, 12 mph, 0 mph, 29.73 in, 0.0 in, 
7:30 PM, 77 °F, 75 °F, 94 %,  WSW, 9 mph, 0 mph, 29.73 in, 0.0 in, 
8:00 PM, 75 °F, 75 °F, 100 %,  WSW, 7 mph, 0 mph, 29.76 in, 0.0 in, 
8:30 PM, 75 °F, 75 °F, 100 %,  WSW, 6 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 PM, 75 °F, 75 °F, 100 %,  W, 3 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 PM, 75 °F, 75 °F, 100 %,  WNW, 3 mph, 0 mph, 29.73 in, 0.0 in, 
10:00 PM, 75 °F, 75 °F, 100 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
10:30 PM, 75 °F, 75 °F, 100 %,  NNW, 5 mph, 0 mph, 29.73 in, 0.0 in, 
11:00 PM, 75 °F, 75 °F, 100 %,  VAR, 3 mph, 0 mph, 29.73 in, 0.0 in, 
11:30 PM, 75 °F, 75 °F, 100 %,  N, 5 mph, 0 mph, 29.73 in, 0.0 in, 
