Time, Temperature, Dew Point, Humidity, Wind, Wind Speed, Wind Gust, Pressure, Precip., Condition, 
5:00 PM, 86 °F, 75 °F, 70 %,  WSW, 16 mph, 0 mph, 29.64 in, 0.0 in, 
5:30 PM, 86 °F, 77 °F, 74 %,  W, 12 mph, 0 mph, 29.64 in, 0.0 in, 
6:00 PM, 86 °F, 77 °F, 74 %,  WSW, 14 mph, 0 mph, 29.67 in, 0.0 in, 
6:30 PM, 82 °F, 77 °F, 84 %,  WSW, 18 mph, 31 mph, 29.70 in, 0.0 in, 
7:00 PM, 82 °F, 75 °F, 79 %,  W, 14 mph, 0 mph, 29.70 in, 0.0 in, 
7:30 PM, 82 °F, 77 °F, 84 %,  W, 14 mph, 0 mph, 29.70 in, 0.0 in, 
8:00 PM, 81 °F, 77 °F, 89 %,  W, 13 mph, 0 mph, 29.73 in, 0.0 in, 
8:30 PM, 81 °F, 77 °F, 89 %,  WSW, 10 mph, 0 mph, 29.73 in, 0.0 in, 
9:00 PM, 81 °F, 77 °F, 89 %,  W, 9 mph, 0 mph, 29.76 in, 0.0 in, 
9:30 PM, 81 °F, 77 °F, 89 %,  W, 10 mph, 0 mph, 29.76 in, 0.0 in, 
10:00 PM, 81 °F, 75 °F, 84 %,  W, 12 mph, 0 mph, 29.79 in, 0.0 in, 
10:30 PM, 81 °F, 75 °F, 84 %,  WSW, 9 mph, 0 mph, 29.76 in, 0.0 in, 
11:00 PM, 81 °F, 73 °F, 79 %,  W, 10 mph, 0 mph, 29.76 in, 0.0 in, 
11:30 PM, 79 °F, 75 °F, 89 %,  WSW, 9 mph, 0 mph, 29.76 in, 0.0 in, 
