,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Date
0,12:00 AM, 79 °F, 75 °F, 89 %,  SE, 8 mph, 0 mph, 29.79 in, 0.0 in,2022-11-03
1,12:30 AM, 79 °F, 75 °F, 89 %,  ESE, 8 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
2,1:00 AM, 79 °F, 75 °F, 89 %,  ESE, 5 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
3,1:30 AM, 79 °F, 75 °F, 89 %,  E, 5 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
4,2:00 AM, 79 °F, 75 °F, 89 %,  E, 5 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
5,2:30 AM, 79 °F, 75 °F, 89 %,  ESE, 6 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
6,3:00 AM, 79 °F, 75 °F, 89 %,  E, 5 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
7,3:30 AM, 79 °F, 75 °F, 89 %,  ESE, 6 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
8,4:00 AM, 79 °F, 75 °F, 89 %,  ESE, 6 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
9,4:30 AM, 79 °F, 73 °F, 83 %,  ESE, 7 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
10,5:00 AM, 77 °F, 73 °F, 89 %,  E, 5 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
11,5:30 AM, 77 °F, 75 °F, 94 %,  VAR, 3 mph, 0 mph, 29.76 in, 0.0 in,2022-11-03
12,6:00 AM, 77 °F, 75 °F, 94 %,  E, 3 mph, 0 mph, 29.79 in, 0.0 in,2022-11-03
13,6:30 AM, 77 °F, 75 °F, 94 %,  E, 3 mph, 0 mph, 29.79 in, 0.0 in,2022-11-03
14,7:00 AM, 79 °F, 75 °F, 89 %,  VAR, 2 mph, 0 mph, 29.82 in, 0.0 in,2022-11-03
15,7:30 AM, 79 °F, 73 °F, 83 %,  VAR, 3 mph, 0 mph, 29.82 in, 0.0 in,2022-11-03
16,8:00 AM, 79 °F, 73 °F, 83 %,  ESE, 6 mph, 0 mph, 29.85 in, 0.0 in,2022-11-03
17,8:30 AM, 81 °F, 73 °F, 79 %,  VAR, 3 mph, 0 mph, 29.85 in, 0.0 in,2022-11-03
